,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Jack Montgomery, 
Jack Montgomery",Fact Check False: UK News Publication Claims Kyle Rittenhouse Shot ‘Three Black Men’,"The Independent falsely claimed that Kyle Rittenhouse ""shot three black men with rifle"" after he was cleared of two charges of murder, one charge of attempted murder, and two charges of reckless endangerment in Kenosha, Wisconsin.",https://www.breitbart.com/europe/2021/11/19/fact-check-false-uk-publication-claims-kyle-rittenhouse-shot-three-black-men/,https://media.breitbart.com/media/2021/11/GettyImages-1236522247-e1637357079172-640x335.jpg,2021-11-19T21:27:07Z,"The Independent falsely claimed that Kyle Rittenhouse “shot three black men with rifle” after he was cleared of two charges of murder, one charge of attempted murder, and two charges of reckless enda… [+2076 chars]",breitbart-news,Breitbart News
1,"Warner Todd Huston, 
Warner Todd Huston",Colin Kaepernick Says Rittenhouse Verdict 'Validates the Terrorist Acts of a White Supremacist',"Colin Kaepernick tweeted that he wants to ""abolish the system,"" and said without evidence that Kyle Rittenhouse is a ""white supremacist.""",https://www.breitbart.com/sports/2021/11/19/colin-kaepernick-says-rittenhouse-verdict-validates-terrorist-acts-white-supremacist/,https://media.breitbart.com/media/2021/10/Screenshot-15-640x480-640x335.jpg,2021-11-19T21:52:00Z,"After a Wisconsin jury declared that accused shooter Kyle Rittenhouse was “not guilty” on all counts, former NFL player Colin Kaepernick called the teenager a “white supremacist” benefiting from a sy… [+2477 chars]",breitbart-news,Breitbart News
2,"David Ng, 
David Ng",Reese Witherspoon: A World Where Kyle Rittenhouse Goes Free Isn't 'Safe for Any of Us',"Oscar-winner Reese Witherspoon is yet another Hollywood celebrity to blast the not-guilty verdicts in the Kyle Rittenhouse trial, saying that the Illinois teenager doesn't deserve to go free.",https://www.breitbart.com/entertainment/2021/11/21/reese-witherspoon-a-world-where-kyle-rittenhouse-goes-free-isnt-safe-for-any-of-us/,https://media.breitbart.com/media/2021/11/reese-witherspoon-gun-hot-pursuit-640x335.jpg,2021-11-22T02:30:48Z,"Oscar-winner Reese Witherspoon is yet another Hollywood celebrity to blast the not-guilty verdicts in the Kyle Rittenhouse trial, saying that the Illinois teenager doesn’t deserve to go free while de… [+2588 chars]",breitbart-news,Breitbart News
3,Allum Bokhari,Bokhari: Silicon Valley Found Kyle Rittenhouse Guilty Long Before His Trial,"The Kyle Rittenhouse trial is wrapping up, but before it had even began, leftists in Silicon Valley had already decided that Rittenhouse was guilty — of something.",https://www.breitbart.com/tech/2021/11/16/bokhari-silicon-valley-found-guilty-rittenhouse-long-before-his-trial/,https://media.breitbart.com/media/2021/11/Kyle-Rittenhouse-and-His-Attorney-3-640x335.jpg,2021-11-16T20:36:46Z,"The Kyle Rittenhouse trial is wrapping up, but before it had even began, leftists in Silicon Valley had already decided that Rittenhouse was guilty of something.
For the “crime” of defending himself… [+3967 chars]",breitbart-news,Breitbart News
4,Randy Clark,Deported Murderer Arrested After Crossing Border into Arizona,"Yuma Sector Border Patrol agents arrested Juan Ramon Barron-Casillas shortly after he illegally entered the United States from Mexico last week. After further investigation, agents discovered Barron’s criminal past included a conviction in Texas for second-de…",https://www.breitbart.com/border/2021/11/27/deported-murderer-arrested-after-crossing-border-into-arizona/,https://media.breitbart.com/media/2021/11/Deported-killer-640x335.png,2021-11-27T16:40:08Z,"Yuma Sector Border Patrol agents arrested Juan Ramon Barron-Casillas shortly after he illegally entered the United States from Mexico last week. After further investigation, agents discovered Barrons… [+3772 chars]",breitbart-news,Breitbart News
5,Allum Bokhari,YouTube Censors Independent Streams of Rittenhouse Trial,"Google-owned YouTube censored then reinstated independent streams of the public trial of Kyle Rittenhous including the popular Rekieta Law channel's stream, over what Rekieta Media says was a ""BS copyright claim.""",https://www.breitbart.com/tech/2021/11/15/youtube-censors-independent-streams-of-rittenhouse-trial/,https://media.breitbart.com/media/2017/05/youtube-Susan-Wojcicki-AP.jpg,2021-11-15T22:42:28Z,"Google-owned YouTube censored then reinstated independent streams of the public trial of Kyle Rittenhous including the popular Rekieta Law channel’s stream, over what Rekieta Media says was a “BS cop… [+2122 chars]",breitbart-news,Breitbart News
6,Gabrielle Reyes,U.S. Increases Travel Warning for India over Mass Rape,"The U.S. State Department issued a travel advisory for India on Monday warning Americans to exercise ""increased caution"" when visiting the country in part due to a rising risk of violent crime including ""rape,"" the Press Trust of India (PTI) reported Wednesda…",https://www.breitbart.com/asia/2021/11/19/u-s-increases-travel-warning-for-india-over-mass-rape/,https://media.breitbart.com/media/2021/11/gang-rape-in-india-640x335.jpg,2021-11-19T12:39:07Z,The U.S. State Department issued a travel advisory for India on Monday warning Americans to exercise “increased caution” when visiting the country in part due to a rising risk of violent crime includ… [+3084 chars],breitbart-news,Breitbart News
7,Dr. Susan Berry,Boston Principal Beaten Unconscious During Rise of Violence in Schools,The principal of a Boston public school was beaten until unconscious during an increase in violence in the school district.,https://www.breitbart.com/education/2021/11/05/boston-principal-beaten-unconscious-during-rise-of-violence-in-schools/,https://media.breitbart.com/media/2021/11/Henderson-K-12-Inclusion-School-Principal-Patricia-Lampron.-Family-Photo--640x335.jpg,2021-11-05T22:45:57Z,"The principal of a Boston public school in Dorchester was beaten until she was unconscious for four minutes or more during an increase in violence in the school district.
Henderson K-12 Inclusion Sc… [+3626 chars]",breitbart-news,Breitbart News
8,Nick Gilbertson,VIDEO: At Large NYC Suspects Fatally Shoot Bronx Father and Wound His Friend in Mugging,Three New York City suspects remain at large for fatally shooting a man after they stole his chain off of his neck and also wounding his friend.,https://www.breitbart.com/crime/2021/11/15/nyc-suspects-fatally-shoot-bronx-father-wound-his-friend-mugging/,https://media.breitbart.com/media/2021/11/KLWQZWJLPVDPTIOIGVEEG7HDC4-640x335.png,2021-11-16T00:14:18Z,"Three New York City suspects remain at large for fatally shooting a Bronx father, after they stole his chain off of his neck, and also wounding his friend.
The shootings occurred in the Mount Eden n… [+2500 chars]",breitbart-news,Breitbart News
9,Jacob Bliss,Police Union: Nationwide ‘Draconian’ Defund the Police Proposals Unlikely After Failed Minneapolis Vote,"“Draconian” defund the police efforts are unlikely to succeed anywhere in the country after voters in Minneapolis overwhelmingly rejected a defund initiative in Tuesday’s election, according to the Fraternal Order of Police executive director.",https://www.breitbart.com/politics/2021/11/04/police-union-nationwide-draconian-defund-the-police-proposals-unlikely-after-failed-minneapolis-vote/,https://media.breitbart.com/media/2021/11/GettyImages-1218833810-e1636061214323-640x335.jpg,2021-11-04T21:34:45Z,"Draconian defund the police efforts are unlikely to succeed anywhere in the country after voters in Minneapolis overwhelmingly rejected a defund initiative in Tuesdays election, according to the Frat… [+5023 chars]",breitbart-news,Breitbart News
10,Dylan Gwinn,NBA Social Justice Coalition Blasts ‘Vigilantism’ After Rittenhouse Verdict,"The NBA Social Justice Coalition released a statement which was posted by the league's official Twitter account, in which he extended his ""thoughts"" to those killed while attacking Rittenhouse last summer, defended the right to ""peaceful protest,"" and called …",https://www.breitbart.com/sports/2021/11/20/nba-social-justice-coalition-blasts-vigilantism-after-rittenhouse-verdict/,https://media.breitbart.com/media/2021/11/GettyImages-1236442534-640x335.jpg,2021-11-20T20:17:10Z,"News of Kyle Rittenhouse’s innocence traveled far and wide Friday afternoon, but apparently, the part about him being innocent didn’t make it to the NBA’s Social Justice Coalition.
James Cadogan, th… [+4418 chars]",breitbart-news,Breitbart News
