,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,ABC News,Man missing after attack authorities believe involved two sharks at Port Beach,Water police and rescue helicopters are searching for a man after a shark attack off Port Beach in Fremantle.,https://www.abc.net.au/news/2021-11-06/wa-shark-attack-port-beach-in-fremantle-leaves-man-missing/100600386,https://live-production.wcms.abc-cdn.net.au/029ef2784fb69d2dfcfb4b5cb9c680fc?impolicy=wcms_crop_resize&cropH=1447&cropW=2573&xPos=0&yPos=206&width=862&height=485,2021-11-06T03:10:37Z,"Water police and rescue helicopters are searching for a man after a shark attack off Port Beach in Fremantle.
It is believed the man was swimming next to a dinghy at the time.
Authorities believe h… [+2422 chars]",abc-news-au,ABC News (AU)
1,Emily Baker,Global hackers tried to break into Tasmania Police accounts 800 times,"An internal report from Tasmania's Department of Police, Fire and Emergency Management has warned the agency is vulnerable to attack from cyber criminals without extra resourcing.",https://www.abc.net.au/news/2021-11-24/hackers-tried-to-access-tasmania-police-accounts-800-times/100644492,https://live-production.wcms.abc-cdn.net.au/00b3dea8b5af0d527aecda7756f7b744?impolicy=wcms_crop_resize&cropH=629&cropW=1124&xPos=141&yPos=87&width=862&height=485,2021-11-23T18:38:57Z,"Hackers across the globe have tried more than 800 times to break into Tasmania Police accounts, and one compromised login was found for sale on the Dark Web for less than $US20 ($27.70).
Key points:… [+3755 chars]",abc-news-au,ABC News (AU)
2,ABC News,Live: NSW Now: Sydney police say 'brazen' and violent Merrylands kidnapping was targeted,MORNING BRIEFING: Police release footage and ask for public help to solve a kidnapping and attack in broad daylight at Merrylands in Sydney's west.,https://www.abc.net.au/news/2021-11-24/wednesday-am-briefing-merrylands-kidnap-on-cctv-was-targeted-/100643540,https://live-production.wcms.abc-cdn.net.au/01cdaa49df3b90eee4da0801e5c81e90?impolicy=wcms_crop_resize&cropH=827&cropW=1470&xPos=0&yPos=44&width=862&height=485,2021-11-23T20:02:37Z,"Here's what you need to know this morning.
Kidnap footage released
Police have released CCTV and mobile phone footage in the hope it will aid their investigation into a man being kidnapped and stab… [+6932 chars]",abc-news-au,ABC News (AU)
3,ABC News,Man charged over attack on bystander who intervened in domestic violence assault,"Police have charged a man, and are searching for another, allegedly involved in an assault on a good Samaritan who tried to stop an attack on a woman.",https://www.abc.net.au/news/2021-11-26/nt-charges-after-attack-on-bystander-who-intervened-in-domestic-/100652922,https://live-production.wcms.abc-cdn.net.au/86e22fbc2c66831d2a9a2f7dbc6f241c?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=178&width=862&height=485,2021-11-26T01:08:39Z,"Northern Territory police have charged a man over an attack that left a bystander who tried to intervene in a domestic violence incident in hospital.
<ul><li>NT Police have condemned an attack on a … [+1298 chars]",abc-news-au,ABC News (AU)
4,ABC News,Shooting at holy site in Jerusalem kills one and injures four,Police say the attack took place near an entrance to a contested flashpoint shrine known to Jews as the Temple Mount and to Muslims as the Noble Sanctuary.,https://www.abc.net.au/news/2021-11-21/one-dead-four-injured-in-shooting-at-jerusalem-holy-site/100638398,https://live-production.wcms.abc-cdn.net.au/c84ea66981200b97db5360fc346c26fb?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=260&width=862&height=485,2021-11-21T11:09:15Z,"Israel says the shooting at a holy site for Jews and Muslims by a Palestinian gunman has left one dead and four injured.
Key points:
<ul><li>The attacker is shot dead by police after opening fire, … [+3130 chars]",abc-news-au,ABC News (AU)
5,Keane Bourke,"Port Beach unpatrolled at time of fatal shark attack, Health Minister reveals",WA Health Minister Roger Cook says the location of surf lifesaving patrols will be examined as beaches in the vicinity of this weekend's fatal shark attack reopen.,https://www.abc.net.au/news/2021-11-08/shark-attack-paul-millachip-perth-beach-unpatrolled/100544978,https://live-production.wcms.abc-cdn.net.au/8f62faa5eb6d6b07b17c0e967000a03b?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=377&width=862&height=485,2021-11-08T04:58:47Z,"The Perth beach where a swimmer was fatally attacked by a great white shark was not patrolled at the time of the attack, WA Health Minister Roger Cook says.
Key points:
<ul><li>Surf lifesavers were… [+3727 chars]",abc-news-au,ABC News (AU)
6,Claire Campbell,Man sentenced to five years' jail over Adelaide nightclub guard stabbing,"A man who stabbed a security guard outside an Adelaide nightclub has been jailed for five years over the ""vicious, senseless and dangerous"" attack.",https://www.abc.net.au/news/2021-11-12/ahmed-hussein-mohamedali-sentenced-over-2019-stabbing/100614876,https://live-production.wcms.abc-cdn.net.au/90975e7546408c2569f2a6e1c14f7071?impolicy=wcms_crop_resize&cropH=585&cropW=1040&xPos=0&yPos=343&width=862&height=485,2021-11-12T01:47:37Z,"A man who stabbed a security guard outside an Adelaide nightclub has been jailed for five years for a ""vicious, senseless and dangerous"" attack that could have killed the victim.
<ul><li>Ahmed Husse… [+2225 chars]",abc-news-au,ABC News (AU)
7,Michael Doyle,"Russia has been building its military on the Ukraine border, raising fears of another conflict in Europe","Fears of a Russian military attack on neighbouring Ukraine are growing amongst the international community, as the Kremlin continues its build-up of troops on the border.",https://www.abc.net.au/news/2021-11-16/leaders-warn-as-russia-builds-military-on-ukraine-border/100624614,https://live-production.wcms.abc-cdn.net.au/76fb13985b4a6c3771bd86e5439af11a?impolicy=wcms_crop_resize&cropH=1688&cropW=3000&xPos=0&yPos=0&width=862&height=485,2021-11-16T07:00:36Z,"Fears of a Russian military attack on neighbouring Ukraine are growing amongst the international community, as the Kremlin continues its build-up of troops on the border.
Ukraine has reached out to … [+9064 chars]",abc-news-au,ABC News (AU)
8,David Weber,Three 'cowards' who beat a fellow prisoner to death given 17-year jail terms,"Three men described as ""cowards"" are given 17-year jail terms for killing a fellow inmate at a Perth prison, while another man who had been coerced into the attack, is also jailed.",https://www.abc.net.au/news/2021-11-24/four-men-jailed-over-fatal-attack-on-prisoner-alf-eades/100646014,https://live-production.wcms.abc-cdn.net.au/69d88e4199c8d1ad5f694935614361a6?impolicy=wcms_crop_resize&cropH=1688&cropW=3000&xPos=0&yPos=977&width=862&height=485,2021-11-24T05:43:58Z,"Three men described as ""cowards"" have been given jail sentences of 17 years each for killing a fellow inmate at a Perth prison.
Key points:
<ul><li>The court was told the men heard rumours Alf Eade… [+3187 chars]",abc-news-au,ABC News (AU)
9,ABC News,Victorian quick presses Ashes selection claims in Shield clash against NSW,"Australia's pace attack for the men's Ashes appears settled, but a Victorian fast bowler is making sure his name is mentioned at the selection table should injury or poor form affect the hosts.",https://www.abc.net.au/news/2021-11-06/sheffield-shield-scott-boland-presses-ashes-claims/100600608,https://live-production.wcms.abc-cdn.net.au/a4a679580663ea7c8518f836165d1282?impolicy=wcms_crop_resize&cropH=1370&cropW=2436&xPos=0&yPos=48&width=862&height=485,2021-11-06T07:23:57Z,"In-form fast bowler Scott Boland has kept his name firmly in Ashes squad calculations with another impressive display, as Victoria seized control of its Sheffield Shield clash with NSW.
<ul><li>Bola… [+2150 chars]",abc-news-au,ABC News (AU)
10,ABC News,Family breaks down as video of Ahmaud Arbery's last minutes shown at black jogger's murder trial,"On the opening day of arguments, prosecutors reveal footage of the 25-year-old's fatal shooting, saying he was ""under attack"" when three white men in pickup trucks chased him through a neighbourhood in Georgia.",https://www.abc.net.au/news/2021-11-06/ahmaud-arbery-murder-trial-black-jogger-georgia/100600030,https://live-production.wcms.abc-cdn.net.au/1ba2160f2f13e91cf8594e544b608147?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=151&width=862&height=485,2021-11-06T01:38:40Z,"Ahmaud Arbery was ""under attack"" when three white men in pickup trucks chased the black jogger through a mostly white neighbourhood in southern Georgia before killing him with a shotgun, a prosecutor… [+5453 chars]",abc-news-au,ABC News (AU)
11,Kristy Sexton-McGrath,Fisherman fights off crocodile on Far North Queensland riverbank,The 60-year-old man is recovering in hospital after the attack on the banks of the Mcivor River near Hope Vale. He escaped by stabbing the reptile with a knife after it grabbed him by the leg.,https://www.abc.net.au/news/2021-11-09/fisherman-fights-off-attacking-crocodile-on-far-north-queensland/100606454,https://live-production.wcms.abc-cdn.net.au/38decc860681481210041a2cd509aa63?impolicy=wcms_crop_resize&cropH=560&cropW=994&xPos=0&yPos=200&width=862&height=485,2021-11-09T04:20:50Z,"A 60-year-old man is recovering in hospital after being attacked by a saltwater crocodile during a fishing trip in Far North Queensland.
Key points:
<ul><li>The man was fishing on the banks of the … [+2078 chars]",abc-news-au,ABC News (AU)
