,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Mike Levine,'I'm a domestic terrorist': How 3 right-wing radicals were filled with hate,A farmer and two mobile-home salesmen in Kansas plotted a horrifying attack.,https://abcnews.go.com/US/domestic-terrorist-styled-patriots-led-lethal-plot/story?id=80303614,https://s.abcnews.com/images/Politics/informant-01-fbi-bomb-demo-ht-jc-211018_1634578833689_hpMain_16x9_992.jpg,2021-11-01T20:02:55Z,"This is part 3 of a three-part ABC News series looking at one chilling case of right-wing extremism in Americas heartland. Part 1 is available here, and part 2 is available here.
In the final weeks … [+12032 chars]",abc-news,ABC News
1,Meredith Deliso,Man stabbed to death near Penn Station; 2 sought in connection with attack,"A man was fatally stabbed near New York's Penn Station on Thanksgiving, said police, who are now seeking two people in connection with the attack.",https://abcnews.go.com/US/man-stabbed-death-penn-station-sought-connection-attack/story?id=81409247,https://s.abcnews.com/images/US/surveillance-ht-ml-211126_1637956652867_hpMain_16x9_992.jpg,2021-11-26T20:22:21Z,"A man was fatally stabbed near New York's Penn Station on Thanksgiving, said police, who are now seeking two people in connection with the attack.
The incident occurred around 6 p.m. Thursday near t… [+894 chars]",abc-news,ABC News
2,The Associated Press,"IS roadside bomb in Iraq leaves 5 peshmerga dead, 4 wounded",The official state news agency of Iraq's Kurdish-run region says a roadside bomb attack by Islamic State group fighters in northern Iraq killed five Kurdish forces and wounded four others,https://abcnews.go.com/International/wireStory/roadside-bomb-iraq-leaves-peshmerga-dead-wounded-81429803,null,2021-11-28T11:03:30Z,"BAGHDAD -- A roadside bomb attack by Islamic State group fighters in northern Iraq killed five Kurdish forces and wounded four others, Kurdish state news agency Rudaw reported Sunday.
The peshmerga … [+1284 chars]",abc-news,ABC News
3,Patrick Reevell,Russia's buildup of troops near Ukraine sparks fears of attack: Analysis,The Russian buildup of troops near Ukraine has triggered the worst fears of a major Russian military incursion since 2014.,https://abcnews.go.com/International/russias-buildup-troops-ukraine-sparks-fears-attack-analysis/story?id=81370345,https://s.abcnews.com/images/International/ukraine-frontline-gty-jc-211125_1637872039620_hpMain_16x9_992.jpg,2021-11-26T13:34:17Z,"Is Russia preparing to invade Ukraine?
Fears of invasion are greater now than at any time since Moscow first seized Crimea in 2014.
For the past month, the United States has been sounding the alarm… [+7897 chars]",abc-news,ABC News
4,MICHAEL KUNZELMAN and JACQUES BILLEAUD Associated Press,Capitol rioter who hit officer gets over 3 years in prison,A New Jersey gym owner who punched a police officer during the Jan. 6 attack on the U.S. Capitol has been sentenced to more than three years in prison,https://abcnews.go.com/Politics/wireStory/capitol-rioter-hit-officer-years-prison-81088824,https://s.abcnews.com/images/Politics/WireAP_b280d3f906a940668582d182bd5c9493_16x9_992.jpg,2021-11-10T18:12:55Z,"A New Jersey gym owner who punched a police officer during the Jan. 6 attack on the U.S. Capitol was sentenced Wednesday to more than three years in prison, a likely benchmark for dozens of other rio… [+5231 chars]",abc-news,ABC News
5,"Laura Romero, Lucien Bruggeman","'QAnon Shaman,' key figure in Jan. 6 attack, to be sentenced Wednesday","Jacob Chansley, who marched through the U.S. Capitol with a spear and horned helmet during the Jan. 6 riot, will be sentenced on Wednesday for his role in the attack.",https://abcnews.go.com/Politics/qanon-shaman-key-figure-jan-attack-sentenced-wednesday/story?id=81203981,https://s.abcnews.com/images/Politics/capitol-siege-jake-angeli-arrested-04-gty-llr-210109_1610210255608_hpMain_3_16x9_992.jpg,2021-11-16T22:59:05Z,"Jacob Chansley, the self-described ""QAnon Shaman"" who infamously marched through the U.S. Capitol with a spear and horned helmet during the Jan. 6 riot, will appear before a federal judge on Wednesda… [+3421 chars]",abc-news,ABC News
6,"Alexander Mallin, Ben Gittleson, Luke Barr",DOJ charges 2 men allegedly behind REvil ransomware attacks,The nation's top law enforcement officials announced on Monday the seizure of approximately $6 million in ransom payments and new criminal charges.,https://abcnews.go.com/Politics/doj-charges-men-men-allegedly-revil-ransomware-attacks/story?id=81037690,https://s.abcnews.com/images/US/merrick-garland-justice-department-rt-jt-211108_1636395713110_hpMain_16x9_992.jpg,2021-11-08T20:02:41Z,The nation's top law enforcement officials announced on Monday the seizure of approximately $6 million in ransom payments and new criminal charges against a Ukrainian national and Russian national al… [+2567 chars],abc-news,ABC News
7,CHINEDU ASADU Associated Press,6 people abducted from university in Nigeria’s capital,Authorities say gunmen in Nigeria’s capital abducted six people from the staff quarters of a university,https://abcnews.go.com/International/wireStory/people-abducted-university-nigerias-capital-80919625,https://s.abcnews.com/images/US/211101_vod_onlocation_hpMain_16x9_992.jpg,2021-11-02T10:53:39Z,"LAGOS, Nigeria -- Gunmen in Nigeria's capital abducted six people from the staff quarters of a university, officials said Tuesday. It was the first attack of its kind in Lagos since a wave of school … [+1157 chars]",abc-news,ABC News
8,Will Steakin,"McConnell sought to disinvite Trump from inauguration, new book says","ABC News correspondent Jonathan Karl shares the little-known story behind Donald Trump's final tweet in his new book, ""Betrayal: The Final Act of the Trump Show.""",https://abcnews.go.com/US/mcconnell-sought-disinvite-trump-biden-inauguration-triggering-final/story?id=80980103,https://s.abcnews.com/images/US/trump-waving-gty-jt-211105_1636157892191_hpMain_16x9_992.jpg,2021-11-15T10:03:50Z,"Shortly after the Jan. 6 insurrection, Republican Senate leader Mitch McConnell did something extraordinary: He decided to disinvite Donald Trump from President Joe Biden's upcoming inauguration beca… [+2434 chars]",abc-news,ABC News
9,Benjamin Siegel,"Democrats move to censure Gosar over violent video attacking Biden, AOC",House Democrats on Friday will introduce a measure to censure Rep. Paul Gosar for tweeting a video violently attacking President Biden and Rep. Alexandria Ocasio-Cortez.,https://abcnews.go.com/Politics/democrats-move-censure-gosar-violent-video-attacking-biden/story?id=81110880,https://s.abcnews.com/images/Politics/paul-gosar-file-gty-jef-211111_1636663198167_hpMain_16x9_992.jpg,2021-11-11T22:42:09Z,"A group of House Democrats have announced that on Friday they will formally introduce a measure to censure Rep. Paul Gosar, R-Ariz., for tweeting an edited Japanese cartoon showing him stabbing Presi… [+3417 chars]",abc-news,ABC News
