,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Al Jazeera,Israel launches missile attack near Syria’s Damascus,Attack reportedly resulted in some material damage but there were no immediate reports of casualties.,https://www.aljazeera.com/news/2021/11/3/israel-launches-missile-attack-near-syrias-damascus,https://www.aljazeera.com/wp-content/uploads/2007/10/1_230317_1_5.jpeg?fit=309%2C206,2021-11-03T02:19:31Z,"Israel has launched an aerial attack with a number of missiles targeting an area on the outskirts of the Syrian capital of Damascus, Syrian state TV said early on Wednesday, citing a military source.… [+1062 chars]",al-jazeera-english,Al Jazeera English
1,Al Jazeera,"US police identify suspect, victims in parade car ramming","Waukesha, Wisconsin police chief says there are no indications that the incident was a 'terrorist' attack.",https://www.aljazeera.com/news/2021/11/22/us-police-identify-suspect-victims-in-parade-car-ramming,https://www.aljazeera.com/wp-content/uploads/2021/11/AP21326102807197.jpg?resize=1200%2C630,2021-11-22T20:23:24Z,"Police have identified the suspect who allegedly drove through a Christmas parade in Waukesha, Wisconsin, killing five and injuring dozens on Sunday, as 39-year-old Darrell E Brooks, saying that auth… [+3657 chars]",al-jazeera-english,Al Jazeera English
2,Al Jazeera,Saudi-led coalition to attack ‘secret drone laboratory’ in Sanaa,"Coalition says it is launching fresh raids on the Houthi-held capital, warns residents to stay away from targeted areas.",https://www.aljazeera.com/news/2021/11/24/saudi-led-coalition-to-strike-secret-drone-laboratory-in-sanaa,https://www.aljazeera.com/wp-content/uploads/2021/11/2021-11-11T085232Z_893391900_RC27SQ9MXFPO_RTRMADP_3_YEMEN-SECURITY.jpg?resize=1200%2C630,2021-11-24T05:48:58Z,"The Saudi Arabia-led coalition fighting Yemens Houthis says it is launching air raids on legitimate military targets in the Yemen capital, Sanaa.
In a statement on Saudi state media, the coalition o… [+2623 chars]",al-jazeera-english,Al Jazeera English
3,Al Jazeera,"Ethiopia denies attack on Sudan, blames rebels for violence",Ethiopian government spokesman dismisses Sudanese claims that the military had attacked Sudan as 'groundless'.,https://www.aljazeera.com/news/2021/11/29/ethiopia-denies-attack-on-sudan-blames-rebels-for-unrest,https://www.aljazeera.com/wp-content/uploads/2021/10/000_9QD446.jpg?resize=1200%2C630,2021-11-29T10:41:43Z,"Ethiopia has denied it staged an attack over the weekend along its shared border with Sudan, blaming unrest in the disputed zone on rebels from its war-hit Tigray region.
On Saturday, Sudans militar… [+2466 chars]",al-jazeera-english,Al Jazeera English
4,Al Jazeera,"Three children, one teacher killed in Cameroon school attack","Rights group says students aged 12, 16 and 17 and French language teacher killed in Ekondo Titi, in Southwest Region.",https://www.aljazeera.com/news/2021/11/24/three-children-one-teacher-killed-in-cameroon-school-attack,https://www.aljazeera.com/wp-content/uploads/2021/11/WEB_1000X562_EKONDO_TITI.jpg?fit=1000%2C562,2021-11-24T16:00:44Z,"Unidentified gunmen have attacked a school in a town in Cameroons violence-hit Southwest Region, killing at least three students and one teacher, according to a local human rights group.
The Centre … [+2284 chars]",al-jazeera-english,Al Jazeera English
5,Al Jazeera,"Libya gunmen attack court, stop Gaddafi son’s candidate appeal",The attack prevented Saif al-Islam Gaddafi from lodging an appeal against disqualification from next month's election.,https://www.aljazeera.com/news/2021/11/26/libya-gunmen-attack-court-stop-gaddafi-sons-candidate-appeal,https://www.aljazeera.com/wp-content/uploads/2021/11/2021-11-23T153407Z_577371675_RC2F0R9N1MX2_RTRMADP_3_LIBYA-ELECTION.jpg?resize=1200%2C630,2021-11-26T09:56:38Z,"Gunmen have attacked a Libyan court before an appeal by the son of slain former ruler Muammar Gaddafi against the rejection of his presidential election candidacy.
Libyas government on Friday called… [+2646 chars]",al-jazeera-english,Al Jazeera English
6,Al Jazeera,Sudan military says several soldiers killed in Ethiopian attack,Military sources tell Reuters at least six Sudanese soldiers were killed in an attack in a disputed border region.,https://www.aljazeera.com/news/2021/11/28/sudan-military-says-several-soldiers-killed-in-ethiopian-attack,https://www.aljazeera.com/wp-content/uploads/2021/11/2021-11-01T090111Z_960774399_RC253K922CH8_RTRMADP_3_ETHIOPIA-CONFLICT-TIMELINE.jpg?resize=1200%2C630,2021-11-28T02:41:58Z,"Sudans military says several Sudanese soldiers were killed in an attack by Ethiopian forces in a disputed border region.
In a statement on Saturday, Sudans military said our forces tasked with secur… [+1426 chars]",al-jazeera-english,Al Jazeera English
7,Al Jazeera,At least 12 killed in eastern DR Congo attack,"Official in Ituri province says six children, two women among those killed when CODECO rebels raided Drodro village.",https://www.aljazeera.com/news/2021/11/22/armed-fighters-kill-at-least-12-in-eastern-dr-congo-attack,https://www.aljazeera.com/wp-content/uploads/2021/11/WEBMAP_DRCONGO-ITURI-PRONVINCE_1000x562.jpg?fit=1000%2C562,2021-11-22T19:39:51Z,"Armed rebels have killed at least 12 people during an attack on displaced civilians in the northeastern Ituri province of Democratic Republic of Congo, a military spokesperson said.
Fighters from th… [+2290 chars]",al-jazeera-english,Al Jazeera English
8,Al Jazeera,"Bahrain says it foiled planned attack, arrests suspects","Interior ministry says it has confiscated weapons and explosives, arrested people for 'plotting terrorist operations'.",https://www.aljazeera.com/news/2021/11/22/bahrain-foils-planned-attack-accuses-iran,https://www.aljazeera.com/wp-content/uploads/2017/12/c507ebd44f6242bbb153c091c362fd34_18.jpeg?fit=1000%2C562,2021-11-22T14:15:36Z,"Bahrain security forces have arrested a number of suspects, and confiscated weapons and explosives ahead of a planned attack, the interior ministry said.
The ministry did not say how many people wer… [+1200 chars]",al-jazeera-english,Al Jazeera English
9,Al Jazeera,Israeli air attack kills 2 Syrian civilians; 7 wounded: Report,"Israeli 'air aggression' on Syria's central region killed two civilians and injured seven others, mostly soldiers.",https://www.aljazeera.com/news/2021/11/24/syria-says-israeli-airstrike-in-homs-leaves-2-dead-7-wounded,https://www.aljazeera.com/wp-content/uploads/2021/11/h_55621032.jpg?resize=1200%2C630,2021-11-24T07:35:03Z,"Israeli air raids on Syrias central region killed two civilians and wounded seven other people, official media reported on Wednesday.
Syrian air defences attempted to intercept the attack above the … [+1546 chars]",al-jazeera-english,Al Jazeera English
