,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,"IS attack on Kabul hospital leaves 7 dead, 16 wounded - Associated Press","<ol><li>IS attack on Kabul hospital leaves 7 dead, 16 wounded  Associated Press
</li><li>More than 20 killed in attack on Afghanistan military hospital – BBC News  BBC News
</li><li>Taliban ban use of foreign currency in Afghanistan -spokesman  Yahoo News
…",https://apnews.com/article/afghanistan-business-kabul-taliban-5575b39e22a6c0294327760a09343c3e,https://storage.googleapis.com/afs-prod/media/1abbdec72ac34ebebe842e79686de886/3000.jpeg,2021-11-02T15:45:00Z,"KABUL, Afghanistan (AP) Islamic State militants set off an explosion at the entrance to a military hospital in the Afghan capital on Tuesday, killing at least seven people, a senior Taliban official … [+1256 chars]",associated-press,Associated Press
1,,Multiple people injured in knife attack on German train - Associated Press,"<ol><li>Multiple people injured in knife attack on German train  Associated Press
</li><li>Knife attack on German train severely injures 3 people  ABC News
</li><li>Several wounded in knife attack on German high-speed train  The Times of Israel
</li><li>Ma…",https://apnews.com/article/europe-germany-nuremberg-2f7cd4d47381d35a515e86ef17849322,https://storage.googleapis.com/afs-prod/media/3063928654f2424b881cfeaf40cf3fce/2000.jpeg,2021-11-06T11:01:51Z,"BERLIN (AP) A knife attack on a high-speed train in Germany left three people severely wounded, the Bavarian Red Cross said Saturday. 
One man has been arrested in connection with the morning attack… [+1213 chars]",associated-press,Associated Press
2,Farnoush Amiri,"Alex Jones, Roger Stone subpoenaed by House Jan. 6 committee...","WASHINGTON (AP) — A committee investigating the Jan. 6 U.S. Capitol insurrection issued  subpoenas Monday to five more individuals, including former President Donald Trump’s ally Roger Stone and conspiracy theorist Alex Jones, as lawmakers deepened their prob…",https://apnews.com/article/donald-trump-roger-stone-capitol-siege-subpoenas-alex-jones-eed9f4013bef0100117c4ec004d6828e,https://storage.googleapis.com/afs-prod/media/aff047d8a7ab4220bd53be3ea2d899e4/3000.jpeg,2021-11-23T00:07:39Z,"WASHINGTON (AP) A committee investigating the Jan. 6 U.S. Capitol insurrection issued subpoenas Monday to five more individuals, including former President Donald Trumps ally Roger Stone and conspira… [+5080 chars]",associated-press,Associated Press
3,Zeke Miller,"Trump wants call logs, aide's notes hidden from Jan 6 panel...","Trump wants call logs, aide's notes hidden from Jan 6 panel...

 
 
 
 (First column, 14th story, link)

 

 

 
 Related stories:During riot, attorney told Pence team VP's actions caused attack...
Did The Don's $300 Million SPAC Deal Skirt Securities La…",https://apnews.com/article/donald-trump-joe-biden-lawsuits-united-states-capitol-siege-4e55ed79b42043fbdef1628d684e1495,https://storage.googleapis.com/afs-prod/media/7f6843d1a3714c838a118c7f351ce419/3000.jpeg,2021-10-30T13:16:47Z,"Former President Donald Trump is trying to block documents including call logs, drafts of remarks and speeches and handwritten notes from his chief of staff relating to the Jan. 6 Capitol insurrectio… [+4075 chars]",associated-press,Associated Press
4,"Michael Tarm, Amy Forliti",NATION WAITS: Rittenhouse jurors to return for Day 2 of deliberations...,"KENOSHA, Wis. (AP) — Jurors weighing charges against Kyle Rittenhouse were to return Wednesday for a second day of deliberations in his murder trial, after they failed to reach a swift verdict on whether he was the instigator in a night of bloodshed in Kenosh…",https://apnews.com/article/kyle-rittenhouse-wisconsin-homicide-kenosha-0e4b6ad5a286af9ddbb8c8546550f1dc,https://storage.googleapis.com/afs-prod/media/18b1c0c6388d4a6aa06b04f4460b906f/3000.jpeg,2021-11-17T12:22:38Z,"KENOSHA, Wis. (AP) Jurors weighing charges against Kyle Rittenhouse were to return Wednesday for a second day of deliberations in his murder trial, after they failed to reach a swift verdict on wheth… [+4298 chars]",associated-press,Associated Press
5,,"Man stabs at least 10 on Tokyo train, starts fire...","TOKYO (AP) — A man brandishing a knife on a Tokyo commuter train on Sunday stabbed several passengers before setting a fire, police said. NHK public television said at least 10 passengers were injured, including one seriously.",https://apnews.com/article/tokyo-commuter-train-stabbing-90912df8b86c80b9db46bc256eab5124,https://storage.googleapis.com/afs-prod/media/afs:Medium:751921853724/700.png,2021-10-31T13:52:36Z,"TOKYO (AP) A man brandishing a knife on a Tokyo commuter train on Sunday stabbed several passengers before setting a fire, police said.
NHK public television said at least 10 passengers were injured… [+763 chars]",associated-press,Associated Press
6,Don Babwin,Brothers to take center stage in Smollett trial...,CHICAGO (AP) — Two brothers stand at the center of the case that prosecutors will lay before jurors when the trial of Jussie Smollett begins this week.  The former “Empire” actor contends he was the victim of a racist and homophobic assault   in downtown Chic…,https://apnews.com/article/entertainment-arts-and-entertainment-crime-chicago-race-and-ethnicity-9b8decca50a228f67411b0816ad5a88c,https://storage.googleapis.com/afs-prod/media/1fa6e7f25f5c46e9958cea201270d845/3000.jpeg,2021-11-29T11:46:50Z,"CHICAGO (AP) Two brothers stand at the center of the case that prosecutors will lay before jurors when the trial of Jussie Smollett begins this week. 
The former Empire actor contends he was the vic… [+4727 chars]",associated-press,Associated Press
7,Jacques Billeaud,Rioter who bragged she wouldn't go to jail gets prison term...,"Rioter who bragged she wouldn't go to jail gets prison term...

 
 
 
 (First column, 6th story, link)

 

 

 
 Related stories:High-stakes hearing in Trump effort to block release of presidential docs...
Analyst who aided Steele dossier arrested...

 …",https://apnews.com/article/joe-biden-crime-texas-prisons-social-media-0f9e470c9871a2f5f1440df76ee23671,https://storage.googleapis.com/afs-prod/media/b3be559de0a24546be4b88642207e583/3000.jpeg,2021-11-04T18:49:38Z,"A real estate agent from suburban Dallas who flaunted her participation in the Jan. 6 riot at the U.S. Capitol on social media and later bragged she wasnt going to jail because she is white, has blon… [+4712 chars]",associated-press,Associated Press
8,Qassim Abdul-zahra,"Iraqi PM survives assassination attempt, ramping up tensions - Associated Press","<ol><li>Iraqi PM survives assassination attempt, ramping up tensions  Associated Press
</li><li>Iraqi Prime Minister survives exploding drone assassination attempt  CNN
</li><li>What's next for Iraq after October's election? | Inside Story  Al Jazeera Engli…",https://apnews.com/article/middle-east-religion-iran-elections-iraq-28fe31151ed74ca6f7ef313793765824,https://storage.googleapis.com/afs-prod/media/66ea5f2632c042999d84737e36a86dcc/2008.jpeg,2021-11-07T11:26:15Z,This photo provided by the Iraqi Prime Minister's Media Office shows the aftermath of an assassination attempt at the home of Iraq's Prime Minister Mustafa al-Kadhimi in the heavily fortified Green Z… [+7695 chars],associated-press,Associated Press
9,Nomaan Merchant,Appeals court temporarily blocks Jan. 6 committee from obtaining Trump records...,"Appeals court temporarily blocks Jan. 6 committee from obtaining Trump records...

 
 
 
 (First column, 14th story, link)

 

 

 
 Related stories:Watergate-era rulings may end privilege claims...
Pressure builds on Meadows to cooperate...
Christie ta…",https://apnews.com/article/donald-trump-joe-biden-district-of-columbia-capitol-siege-bdc8568b074dfefed8d11b883118dc76,https://storage.googleapis.com/afs-prod/media/3a5ae6b817fe45bd88940dd987cd7970/3000.jpeg,2021-11-12T00:07:38Z,WASHINGTON (AP) Former President Donald Trump on Thursday asked a federal appeals court to temporarily block the release of records to a House committee investigating the Jan. 6 insurrection led by h… [+1784 chars],associated-press,Associated Press
