,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Ivan Pereira,Senators push Justice Department to crack down on illegal gun modifications,U.S. senators Amy Klobuchar and Cory Booker are urging the Justice Department to come up with a strategy to deal with rise in illegal semi-automatic gun mods.,https://abcnews.go.com/Politics/senators-push-justice-department-crack-illegal-gun-modifications/story?id=80927340,https://s.abcnews.com/images/US/glock-guns-gty-ps-211102_1635877233748_hpMain_16x9_992.jpg,2021-11-02T21:24:12Z,"They're cheap, easy to produce and can make guns more dangerous in minutes.
Gun modifications are becoming a problem for the country as the number of shooting incidents linked to automatic weapons i… [+2298 chars]",abc-news,ABC News
1,Kiara Alfonseca,'Rust' camera assistant who quit before shooting says safety concerns were ignored,"Lane Luper spoke on ""Good Morning America"" about the ""Rust"" incident.",https://abcnews.go.com/Entertainment/rust-camera-assistant-quit-shooting-safety-concerns/story?id=80946156,https://s.abcnews.com/images/US/lane-luper-interview-abc-jef-211103_1635951118159_hpMain_16x9_992.jpg,2021-11-03T15:53:28Z,"A crew member on the movie set of ""Rust"" talked to ""Good Morning America"" about his safety concerns on that set.
Lane Luper, formerly first camera assistant on the film, had quit and left the produc… [+2987 chars]",abc-news,ABC News
2,The Associated Press,25 die in Brazil police operation against alleged bank gang,Police say an operation against a gang planning bank robberies has killed at least 25 suspects in the Brazilian state of Minas Gerais,https://abcnews.go.com/International/wireStory/25-die-brazil-police-operation-alleged-bank-gang-80890816,null,2021-10-31T20:09:55Z,"BRASILIA, Brazil -- Police say an operation against a gang planning bank robberies killed at least 25 suspects in the Brazilian state of Minas Gerais on Sunday.
The Military Police said that the gro… [+769 chars]",abc-news,ABC News
3,The Associated Press,"Israel announces Hamas arrests, day after deadly shooting",Israel’s internal security agency says it has arrested more than 50 members of a Hamas cell in the occupied West Bank and east Jerusalem that were involved in planning attacks on Israelis,https://abcnews.go.com/International/wireStory/israel-announces-hamas-arrests-day-deadly-shooting-81325921,https://s.abcnews.com/images/International/WireAP_a3c05acffdcc45d3b67df57a7e801b0f_16x9_992.jpg,2021-11-22T13:04:36Z,Israels internal security agency said Monday that it had arrested more than 50 members of a Hamas cell in the occupied West Bank and east Jerusalem in recent weeks that were involved in planning atta… [+1219 chars],abc-news,ABC News
4,The Associated Press,Taxi driver hurt in UK blast says it's a miracle he's alive,A taxi driver injured when his passenger’s homemade bomb exploded in the northwest England city of Liverpool says it’s a “miracle” he is alive,https://abcnews.go.com/International/wireStory/taxi-driver-hurt-uk-blast-miracle-alive-81312157,null,2021-11-21T14:27:43Z,"LONDON -- A taxi driver injured when his passengers homemade bomb exploded in the northwest England city of Liverpool a week ago said Sunday that its a miracle he is alive.
In a message issued throu… [+1148 chars]",abc-news,ABC News
5,LORI HINNANT Associated Press,France's ex-president takes the stand in 2015 attacks trial,Former French President François Hollande is testifying at the trial of 14 men accused of helping in the 2015 Islamic State attacks on Paris,https://abcnews.go.com/International/wireStory/frances-president-takes-stand-2015-attacks-trial-81079646,null,2021-11-10T12:20:15Z,"PARIS -- Former French President François Hollande testifies Wednesday at the trial of 14 men accused of helping in the 2015 Islamic State attacks on Paris.
Hollande was at Frances national stadium … [+775 chars]",abc-news,ABC News
6,AHMED AL-HAJ Associated Press,"Officials: Journalist, child killed in explosion in Yemen",Officials say a journalist and her child have been killed in an explosion that targeted her family’s vehicle in Yemen’s southern city of Aden,https://abcnews.go.com/International/wireStory/officials-journalist-child-killed-explosion-yemen-81061438,null,2021-11-09T18:43:31Z,"SANAA, Yemen -- A Yemeni journalist and her child were killed in an explosion that targeted her familys vehicle Tuesday in Yemens southern city of Aden, officials said. The blast was the latest to ro… [+1840 chars]",abc-news,ABC News
7,GONZALO SOLANO Associated Press,Police: Ecuadorian prison clash leaves at least 52 dead,"Clashes inside Ecuador’s largest prison have left at least 52 inmates dead in the latest violence to hit the Litoral Penitentiary, which recently saw what authorities said was the country’s worst ever prison bloodbath",https://abcnews.go.com/International/wireStory/police-ecuadorian-prison-clash-leaves-52-dead-81151412,https://s.abcnews.com/images/International/WireAP_d3ad5f29ff1844d682cba6dfbc4153d8_16x9_992.jpg,2021-11-13T16:52:16Z,"QUITO, Ecuador -- Clashes inside Ecuadors largest prison early Saturday left at least 52 inmates dead in the latest violence to hit the Litoral Penitentiary, which recently saw what authorities said … [+1946 chars]",abc-news,ABC News
8,RAHIM FAIEZ Associated Press,"Taliban urge ex-Afghan military pilots to stay, serve nation","A top Taliban official has urged former Afghan military pilots to remain in the country, saying they are protected by a national amnesty and would not face arrest",https://abcnews.go.com/International/wireStory/taliban-urge-afghan-military-pilots-stay-serve-nation-81080562,https://s.abcnews.com/images/International/WireAP_251a563792514f28ab7581813c5b2cb4_16x9_992.jpg,2021-11-10T12:52:46Z,"ISLAMABAD -- A top Taliban official on Wednesday urged former Afghan military pilots to remain in the country, saying they were protected by a national amnesty and would not face arrest.
The comment… [+2876 chars]",abc-news,ABC News
9,SAM MEDNICK Associated Press,Extremist attack in Burkina Faso kills at least 20,Burkina Faso's security minister says an attack by jihadis on a gendarme post in northern Burkina Faso has killed at least 19 officers and one civilian,https://abcnews.go.com/International/wireStory/extremist-attack-burkina-faso-kills-20-81167573,null,2021-11-14T21:44:15Z,"OUAGADOUGOU, Burkina Faso -- An attack by jihadis on a gendarme post in northern Burkina Faso killed at least 19 officers and one civilian Sunday, the ministry of security said.
The attack took plac… [+2755 chars]",abc-news,ABC News
10,SAM MEDNICK  Associated Press,Death toll in Burkina Faso security force attack rises to 32,The death toll for the weekend attack in northern Burkina Faso has risen to at least 28 officers and four civilians,https://abcnews.go.com/International/wireStory/death-toll-burkina-faso-security-force-attack-rises-81186461,null,2021-11-15T20:19:16Z,"OUAGADOUGOU, Burkina Faso -- The death toll for the weekend attack in northern Burkina Faso has risen to at least 28 officers and four civilians, the government said Monday, marking the deadliest att… [+2686 chars]",abc-news,ABC News
11,The Associated Press,Suspects in Paris attacks on stand after victims' testimony,The lone survivor of the Islamic State cell that attacked Paris in November 2015 is coming under public questioning for the first time in France,https://abcnews.go.com/International/wireStory/suspects-paris-attacks-stand-victims-testimony-80926473,https://s.abcnews.com/images/International/WireAP_0a8a6ee16ddd474f888706c598a4f46b_16x9_992.jpg,2021-11-02T17:04:20Z,"PARIS -- The lone survivor of the cell of Islamic State group extremists who attacked Paris in November 2015 came under public questioning Tuesday for the first time in France, describing a close fam… [+3254 chars]",abc-news,ABC News
12,The Associated Press,Man sentenced for sending bomb hoax to UK vaccine plant,A man has been sentenced to more than two years in prison for sending a bomb hoax to a U.K. coronavirus vaccine factory and similar parcels elsewhere including a laboratory in Wuhan,https://abcnews.go.com/Health/wireStory/man-sentenced-sending-bomb-hoax-uk-vaccine-plant-81369530,null,2021-11-24T13:07:16Z,"LONDON -- A man who sent a bomb hoax to a U.K. coronavirus vaccine factory and similar parcels elsewhere, including a laboratory in Wuhan, China, was sentenced to more than two years in prison on Wed… [+1458 chars]",abc-news,ABC News
13,MICHAEL BALSAMO Associated Press,White House rolls out new plan to combat gun suicides in US,The Biden administration is rolling out a new initiative aimed at reducing suicides by gun and combating the significant increases in suicides by members of the military and veterans,https://abcnews.go.com/Health/wireStory/white-house-rolls-plan-combat-gun-suicides-us-80923245,null,2021-11-02T14:15:46Z,"WASHINGTON -- The Biden administration is rolling out a new initiative aimed at reducing suicides by gun and combating the significant increases in suicides by members of the military and veterans.
… [+3211 chars]",abc-news,ABC News
14,JOSH FUNK  AP Business Writer,Regulators seek to suspend Trump rule on railway natural gas,Federal regulators have proposed suspending a Trump administration rule that would have allowed railroads to haul liquefied natural gas while they take a closer look at the potential safety risks,https://abcnews.go.com/US/wireStory/regulators-seek-suspend-trump-rule-railway-natural-gas-81214104,null,2021-11-16T23:17:33Z,"OMAHA, Neb. -- Federal regulators have proposed suspending a Trump administration rule that would have allowed railroads to haul liquefied natural gas while they take a closer look at the potential s… [+3986 chars]",abc-news,ABC News
15,JOSH FUNK  AP Business Writer,Regulators seek to suspend Trump rule on railway natural gas,Federal regulators have proposed suspending a Trump administration rule that would have allowed railroads to haul liquefied natural gas while they take a closer look at the potential safety risks,https://abcnews.go.com/Business/wireStory/regulators-seek-suspend-trump-rule-railway-natural-gas-81214105,https://s.abcnews.com/images/US/WireAP_e1dfe4d2572d45b7ab6dcb8768c72362_16x9_992.jpg,2021-11-16T23:18:31Z,"OMAHA, Neb. -- Federal regulators have proposed suspending a Trump administration rule that would have allowed railroads to haul liquefied natural gas while they take a closer look at the potential s… [+3986 chars]",abc-news,ABC News
16,"HEATHER HOLLINGSWORTH, KATHY GANNON and ERIC TUCKER Associated Press","Radicalization's path: In case studies, finding similarities",The Associated Press set out to examine the paths and mechanics of radicalization through case studies on two continents,https://abcnews.go.com/US/wireStory/radicalizations-path-case-studies-finding-similarities-80966358,null,2021-11-04T08:02:07Z,"In the months before he was charged with storming the Capitol, Doug Jensen was sharing conspiracy theories he'd consumed online. But it hadnt always been that way, says his brother, who recalls how h… [+17714 chars]",abc-news,ABC News
17,RODNEY MUHUMUZA Associated Press,"Uganda police kill 5, including cleric, after bomb blasts","Ugandan police said on Thursday they had killed at least five people, including a Muslim cleric, accused of having ties to the extremist group responsible for Tuesday's suicide bombings in the capital",https://abcnews.go.com/International/wireStory/uganda-police-kill-including-cleric-bomb-blasts-81259031,null,2021-11-18T19:12:16Z,"KAMPALA, Uganda -- Ugandan authorities have killed at least five people, including a Muslim cleric, accused of having ties to the extremist group responsible for Tuesday's suicide bombings in the cap… [+3445 chars]",abc-news,ABC News
