,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,https://www.facebook.com/bbcnews,"Deadly US drone strike in Kabul did not break law, Pentagon says","The attack that killed three adults and seven children was an ""honest mistake"", the Pentagon says.",https://www.bbc.co.uk/news/world-us-canada-59157089,https://ichef.bbci.co.uk/news/1024/branded_news/DAE2/production/_121343065_e18524e3-f821-4170-843d-8d7efa986df1.jpg,2021-11-03T22:04:03Z,"Media caption, Relative of drone strike victims: ""Why did they kill our family... our children?""
A US drone strike that killed 10 Afghan civilians was an error that did not violate any laws, a Penta… [+2715 chars]",bbc-news,BBC News
1,https://www.facebook.com/bbcnews,Iraqi PM al-Kadhimi survives Baghdad 'assassination attempt',"Mustafa al-Kadhimi said he was unhurt in the attack on his house, said to be by an armed drone.",https://www.bbc.co.uk/news/world-middle-east-59195399,https://ichef.bbci.co.uk/news/1024/branded_news/24F0/production/_121465490_gettyimages-1229177869.jpg,2021-11-07T01:01:10Z,"Image source, Getty Images
Image caption, Mustafa al-Kadhimi called for 'calm and restraint' in the aftermath of the attack
Iraqi Prime Minister Mustafa al-Kadhimi has said he escaped unhurt after … [+788 chars]",bbc-news,BBC News
2,https://www.facebook.com/bbcnews,Parambir Singh: The case of the missing top police officer,The former police chief of Mumbai has been missing since May - and nobody quite knows why.,https://www.bbc.co.uk/news/world-asia-india-59174933,https://ichef.bbci.co.uk/news/1024/branded_news/2ACC/production/_121465901_photo-2021-11-07-08-23-02.jpg,2021-11-10T00:03:16Z,"By Soutik Biswas and Mayank Bhagwat BBC News
Image source, Ashish Raje
Image caption, Parambir Singh has been not seen since early May
On 1 October, Indian authorities made a sensational announcem… [+6138 chars]",bbc-news,BBC News
3,https://www.facebook.com/bbcnews,Ecuador prison riot: New fighting at Guayaquil jail kills 58,Fighting at the Litoral Penitentiary in the city of Guayaquil reportedly began on Friday evening.,https://www.bbc.co.uk/news/world-latin-america-59276428,https://ichef.bbci.co.uk/news/1024/branded_news/15D1E/production/_121547398_gettyimages-1236540650.jpg,2021-11-13T17:39:21Z,"Image source, Getty Images
Image caption, Desperate relatives are again waiting outside the prison for news of loved ones
At least 58 prisoners have been killed in new fighting at an Ecuadorean pri… [+1794 chars]",bbc-news,BBC News
4,https://www.facebook.com/bbcnews,Ecuador prison and armed forces chiefs resign after riots,The move came after 68 inmates were killed in a deadly fight in a Guayaquil jail over the weekend.,https://www.bbc.co.uk/news/world-latin-america-59296328,https://ichef.bbci.co.uk/news/1024/branded_news/2B58/production/_121569011_mediaitem121569010.jpg,2021-11-15T17:06:49Z,"Image caption, Empty coffins were being delivered to the morgue where most of the bodies have been taken
The head of Ecuador's prison system and the country's armed forces chief have resigned follow… [+2216 chars]",bbc-news,BBC News
5,https://www.facebook.com/bbcnews,Parambir Singh: Missing India police officer reappears after months,"Parambir Singh, the former police chief of Mumbai, is facing multiple charges of extortion.",https://www.bbc.co.uk/news/world-asia-india-59412299,https://ichef.bbci.co.uk/news/1024/branded_news/E0AE/production/_121781575_mediaitem121781574.jpg,2021-11-25T06:14:54Z,"Image source, Ashish Raje
Image caption, Parambir Singh is the former police chief of Mumbai city
A top Indian police officer who is accused of extortion has resurfaced months after he went missing… [+2490 chars]",bbc-news,BBC News
6,https://www.facebook.com/bbcnews,Manchester Arena Inquiry: Bomber's brother will be arrested on return,"Ismail Abedi has ""important"" evidence to give to the Manchester Arena Inquiry, a court is told.",https://www.bbc.co.uk/news/uk-england-manchester-59431066,https://ichef.bbci.co.uk/news/1024/branded_news/1673F/production/_121776919_6bd2e46f-b508-4f57-8149-e7d0c25ede61.jpg,2021-11-26T14:31:16Z,"Image caption, The inquiry has heard that Ismail Abedi was in possession of a ""significant"" amount of extremist material
The brother of the Manchester Arena bomber will be arrested and brought to gi… [+3332 chars]",bbc-news,BBC News
7,https://www.facebook.com/bbcnews,My Day at COP26: ‘My police dog doesn't care if Biden is here - he gets on with the job’,Sgt Lynsey Buchanan-Barlas and her dog Nico have been searching Glasgow’s streets for explosives ahead of COP26.,https://www.bbc.co.uk/news/science-environment-59138692,https://ichef.bbci.co.uk/news/1024/branded_news/7FF9/production/_121316723_2_my_day_at_cop_promo_image_976-nc.jpg,2021-11-03T16:58:51Z,"For weeks, Police Scotland's Sgt Lynsey Buchanan-Barlas and her dog Nico have been searching Glasgow's streets for explosives ahead of COP26. In the latest of a series of first-person accounts from t… [+2624 chars]",bbc-news,BBC News
8,https://www.facebook.com/bbcnews,COP26: Quitting coal and rebounding CO2 emissions,Five things you need to know about COP26 - the United Nations climate change conference - on Thursday.,https://www.bbc.co.uk/news/uk-59155316,https://ichef.bbci.co.uk/news/1024/branded_news/A730/production/_121300824_cop_brief_v5_promo_image_976-nc.jpg,2021-11-04T06:54:17Z,"Here are five things you need to know about the COP26 climate change conference on Thursday.
Countries such as Poland, Vietnam and Chile, which rely heavily on coal - the single biggest contributor … [+3683 chars]",bbc-news,BBC News
9,https://www.facebook.com/bbcnews,Iraq PM says his would-be assassins have been identified,Mustafa al-Kadhimi says he knows who was behind Sunday's assassination attempt at his Baghdad home.,https://www.bbc.co.uk/news/world-middle-east-59205758,https://ichef.bbci.co.uk/news/1024/branded_news/D53B/production/_121478545_mediaitem121478544.jpg,2021-11-08T13:15:57Z,"Image caption, A vehicle parked outside Mustafa al-Kadhimi's home was damaged in the attack
Iraqi Prime Minister Mustafa al-Kadhimi says the perpetrators of Sunday's failed assassination attempt at … [+3737 chars]",bbc-news,BBC News
