,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Ja'han Jones,These Republicans are literally talking about setting off explosives in the Capitol,Republicans Reps. Matt Gaetz and Lauren Boebert love to “fantasize” about blowing up metal detectors meant to protect lawmakers at the U.S. Capitol.,https://www.msnbc.com/the-reidout/reidout-blog/matt-gaetz-lauren-boebert-capitol-metal-detectors-rcna4237,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211101-ROB-Lauren-Boebert-Matt-Gaetz-an-773533.jpg",2021-11-01T18:13:14Z,"Have you heard the joke about placing explosives in the U.S. Capitol? If not, no worries it doesnt exist. 
Nonetheless, some Republicans are getting a kick out of imagining another violent attack on… [+3606 chars]",msnbc,MSNBC
1,Ja'han Jones,New report reveals corporations playing both sides on voting rights,"Microsoft, Amazon, Dell, Intel, Cisco, Target, Facebook and Boston Scientific supported voting rights legislation while donating to Republicans who blocked it, new report shows.",https://www.msnbc.com/the-reidout/reidout-blog/corporations-voting-rights-republicans-rcna4698,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211105-Corps-GOP-Donations-jg-c3182e.jpg",2021-11-06T13:54:22Z,"A new report from a corporate watchdog group outed several corporations for their hypocritical stances on voting rights. 
Accountable.US found eight major corporations that signed a letter since Jul… [+1474 chars]",msnbc,MSNBC
2,Ja'han Jones,The Supreme Court seems poised to give Second Amendment activists a huge gift,The Supreme Court listened to arguments in a Second Amendment rights case related to a New York law that prohibits most people from carrying concealed handguns.,https://www.msnbc.com/the-reidout/reidout-blog/supreme-court-second-amendment-concealed-carry-new-york-rcna4483,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211104-2A-NYC-jg-aa16e9.jpg",2021-11-04T14:28:14Z,"Everybody got a pistol. Everybody got a .45. And the philosophy seems to be at least as near as I can see When the other folks give up theirs, Ill give up mine.
Thats a line from the Gil Scott-Heron… [+2927 chars]",msnbc,MSNBC
3,Ja'han Jones,"White, conservative backlash doesn’t tell the full story of the 2021 elections","Glenn Youngkin's gubernatorial victory in Virginia isn't the only takeaway from the 2021 elections. Several Democrats made history, including Michelle Wu and Abdullah Hammoud.",https://www.msnbc.com/the-reidout/reidout-blog/2021-elections-white-conservative-outrage-rcna4438,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211103-adams-victory-jg-main-fd87ed.jpg",2021-11-03T22:46:38Z,"The Virginia gubernatorial election has dominated national political news this week, but Glenn Youngkins victory and the largely white, conservative backlash across the country to lesson plans about … [+3594 chars]",msnbc,MSNBC
4,Ja'han Jones,Congress can’t just rely on Big DOJ Energy to save our democracy,"The Justice Department is suing Texas over Senate Bill 1, a restrictive voting law. But Congress must do more to protect voting rights.",https://www.msnbc.com/the-reidout/reidout-blog/doj-lawsuit-texas-voting-congress-rcna4659,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211105-voting-rights-protest-cs-525p-78a36b.jpg",2021-11-05T22:01:01Z,"The Justice Departments announcement Thursday that its suing Texas over restrictive voting legislation known as Senate Bill 1 was a welcome sight to me. 
To be transparent: Im an admittedly desperat… [+2561 chars]",msnbc,MSNBC
5,Ja'han Jones,A juror’s cruel joke got himself kicked off of the Kyle Rittenhouse trial,A juror in the Kyle Rittenhouse trial was dismissed Thursday for making a joke to a court security officer about the police shooting of Jacob Blake.,https://www.msnbc.com/the-reidout/reidout-blog/kyle-rittenhouse-juror-dismissed-joke-jacob-blake-rcna4622,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211104-kyle-rittenhouse-cs-509p-b91a56.jpg",2021-11-04T23:56:49Z,"A juror in the Kyle Rittenhouse trial was dismissed Thursday for making a joke to a court security officer about the policeshooting of Jacob Blake in August 2020. 
The judge overseeing the case, Bru… [+2150 chars]",msnbc,MSNBC
6,Ja'han Jones,Josh Hawley's crusade against video games and porn is hilariously empty,"Sen. Josh Hawley has a bone to pick with porn and video games. The Republican, who helped push Trump's election lies, said conservatives must ""call men back to responsibility.""",https://www.msnbc.com/the-reidout/reidout-blog/josh-hawleys-crusade-video-games-porn-hilariously-empty-rcna4822,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211108-Hawley-Masculinity-jg-429cc2.jpg",2021-11-08T23:18:02Z,"Sen. Josh Hawley has a bone to pick with porn. And video games, too. 
The Missouri Republican, widely known for throwing up a seemingly approving fist pump at would-be rioters hours before the Jan. … [+2518 chars]",msnbc,MSNBC
7,Ja'han Jones,Trial for Ahmaud Arbery’s killers marred by allegations of biased jury selection,"Opening arguments in the trial of three white men charged with murdering Ahmaud Arbery, a 25-year-old Black man, began Friday — with a nearly all-white jury.",https://www.msnbc.com/the-reidout/reidout-blog/ahmaud-arbery-trial-white-jury-selection-rcna4685,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211105-Arbery-White-Jury-jg-24f083.jpg",2021-11-05T22:08:55Z,"Opening arguments began Friday in the trial of three white men charged with murdering Ahmaud Arbery, a 25-year-old Black man.
Gregory McMichael, his son Travis McMichael and their neighbor William R… [+2563 chars]",msnbc,MSNBC
8,Ja'han Jones,The FBI abandoned us when it ignored Capitol rioters’ threats on social media,"The FBI shrugged off Capitol rioters' threats on social media ahead of the Jan. 6 attack, according to a new Washington Post report.",https://www.msnbc.com/the-reidout/reidout-blog/fbi-ignored-capitol-rioters-threats-social-media-rcna4252,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211102-capitol-rioters-cs-102p-e12d3c.jpg",2021-11-01T22:17:40Z,"To me, the rioters who stormed the U.S.Capitol in January have always been quite ironic. 
From Jan. 6, when we witnessed several of them taking selfies with Capitol police, to today, as many of them… [+3024 chars]",msnbc,MSNBC
9,Ja'han Jones,Black lawmakers just gave Biden a big win. It’s time for Democrats to pay up.,The Congressional Black Caucus just gave President Joe Biden a big win on infrastructure. It's time for Democrats to do more than pay Black and brown people lip service for their support.,https://www.msnbc.com/the-reidout/reidout-blog/congressional-black-caucus-biden-infrastructure-rcna4821,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211108-BBB-Black-Lawmakers-jg-b30543.jpg",2021-11-08T20:46:36Z,"With passage of PresidentJoe Bidens infrastructure bill hanging in the balance, establishment Democrats tapped a familiar ally to shore up support for the proposed legislation ahead of last weeks vot… [+3215 chars]",msnbc,MSNBC
