,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"USA TODAY, Mike Snider, USA TODAY","'Call of Duty: Vanguard' is bloody, exciting video game fun","The latest Call of Duty game, ""Call of Duty: Vanguard"" has been released by Activision. Here's what we thought of the single-player story mode.",https://www.usatoday.com/story/tech/gaming/2021/11/05/call-duty-vanguard-video-games-playstation-activision/6304255001/,https://www.gannett-cdn.com/-mm-/e87c541f765d0af7054f3904fc2efbcd34d42ffe/c=0-0-1920-1080/local/-/media/2021/11/03/USATODAY/usatsports/AFRICA_FRONT-WM.png?auto=webp&format=pjpg&width=1200,2021-11-06T00:19:33Z,"Much has been made about the rich and inclusive story in this year's edition of the popular Call of Duty video game franchise.
That may be, but ""Call of Duty: Vanguard,"" out Friday for PlayStation 5… [+4666 chars]",usa-today,USA Today
1,Packers Wire,5 keys to Packers beating Rams in Week 12,What do the Packers need to do to beat the Rams on Sunday?,https://packerswire.usatoday.com/lists/5-keys-to-packers-beating-rams-in-week-12/,https://s.yimg.com/ny/api/res/1.2/ONHZ2UTdSvJfCvWg9iHN_A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05ODI-/https://s.yimg.com/uu/api/res/1.2/7Q83N0HEl4fSZe7zy718eg--~B/aD0yMDk0O3c9MjU2MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/green_bay_packers_wire_usa_today_sports_articles_327/475a16f3df933b9388a746adf47ea502,2021-11-28T14:22:39Z,"The star-studded Los Angeles Rams have lost two straight games but are now rested up and healthy coming out of the bye week, creating a tremendous challenge for the tired and beat-up Green Bay Packer… [+4250 chars]",usa-today,USA Today
2,Cowboys Wire,Cowboys DBs aim to stop big plays from Chiefs’ Mahomes in battle of elite QBs,"Trevon Diggs & Co. are focused on containing the damage Sunday. Dak Prescott, meanwhile, won't be imitating those crazy throws from Mahomes. | From @ToddBrock24f7",https://cowboyswire.usatoday.com/2021/11/19/cowboys-defensive-backs-aim-to-stop-big-plays-from-chiefs-patrick-mahomes-in-battle-of-elite-quarterbacks/,https://s.yimg.com/ny/api/res/1.2/PiFnCwRU4oergzEGn6pF5Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/2CoWZwQygaRXLQI3uLdVtw--~B/aD0xNzA3O3c9MjU2MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/dallas_cowboys_wire_usa_today_sports_articles_693/cd0bc780d43c181e48e29624e2f19159,2021-11-19T22:04:12Z,"The Kansas City Chiefs currently throw the ball more than anyone else. Quarterback Patrick Mahomes leads the league in passing attempts, and by a lot; he has 50 more attempts than any other quarterba… [+6441 chars]",usa-today,USA Today
3,UGA Wire,"Georgia WR Kearis Jackson defends UGA’s offense, explosiveness","Georgia has attempted just 216 passes this season. Out of the 130 FBS programs, that ranks No. 120 and only three Power Five programs have attempted less passes this year.",https://ugawire.usatoday.com/2021/11/11/georgia-wr-kearis-jackson-defends-ugas-offense-explosiveness/,https://s.yimg.com/ny/api/res/1.2/salWtSDxbSu9nzbvzJTe3A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://s.yimg.com/uu/api/res/1.2/PWMG7oT9g4Q1nrbt3LROkg--~B/aD0xNzA4O3c9MjU2MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/uga_wire_usa_today_articles_805/4977ee07b0a18dac281f95030be33872,2021-11-11T16:37:32Z,"The Georgia Bulldogs are sitting at 9-0 and ranked No. 1 in the nation, yet there are still a lot of questions surrounding UGAs offense and its ability to put up points quickly.
All the praise goes … [+2573 chars]",usa-today,USA Today
4,"USA TODAY, Jori Epstein, USA TODAY","'We have (expletive) to fix': Cowboys coordinators Dan Quinn, Kellen Moore respond to rumors, reunions","When the Falcons (4-4) visit the Cowboys (6-2) this week, will Quinn exact revenge on the team that 13 months ago fired him as its head coach?",https://www.usatoday.com/story/sports/nfl/cowboys/2021/11/09/cowboys-dan-quinn-kellen-moore-regroup-response/6349981001/,"https://www.gannett-cdn.com/presto/2021/11/09/USAT/2d920827-4207-4dd6-824a-baaf2ef0939d-USATSI_16447677_1.jpg?auto=webp&crop=2999,1687,x0,y56&format=pjpg&width=1200",2021-11-09T11:38:13Z,"FRISCO, Texas — For Dallas Cowboys defensive coordinator Dan Quinn, buzz simmers around the reunion.  
For Cowboys offensive coordinator Kellen Moore, rumors swirl around a potential relocation. 
W… [+4856 chars]",usa-today,USA Today
5,Sooners Wire,‘Still hopeful’: Alex Grinch updates Woodi Washington’s status for Baylor,"Oklahoma defensive coordinator Alex Grinch said the Sooners are ""still hopeful"" that cornerback Woodi Washington can return against Baylor.",https://soonerswire.usatoday.com/lists/oklahoma-sooners-football-alex-grinch-woodi-washington-jalen-redmond-baylor-bears/,https://s.yimg.com/ny/api/res/1.2/aPblguaLs9o4R2BDCP6sCg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/3sOznEZr0lQ2gVNOCjYHEQ--~B/aD0xNzA3O3c9MjU2MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/sooners_wire_usa_today_articles_466/59f02cd962f382963dbb5319d8a98bd4,2021-11-10T04:17:27Z,"What a difference a day makes.
After Oklahoma head football coach Lincoln Riley said it was a little bit of a reach that either junior wide receiver Theo Wease or redshirt sophomore cornerback Woodi… [+7881 chars]",usa-today,USA Today
6,"USA TODAY, Erin Jensen, USA TODAY",'We came up with a plan to decapitate' Joe Exotic: The only shocking 'Tiger King' 2 reveal,"Allen Glover, who ""Tiger King"" star Joe Exotic allegedly hired to kill his nemesis Carole Baskin, says he and Jeff Lowe were conspiring to kill Joe.",https://www.usatoday.com/story/entertainment/tv/2021/11/17/tiger-king-2-joe-exotic-hitman-decapitate-allen-glover-jeff-lowe-netflix/8649005002/,"https://www.gannett-cdn.com/presto/2021/03/25/USAT/9c119990-5097-44fb-b827-ab83ace0a7f3-AFP_1QI4S7.JPG?crop=2839,1597,x0,y108&width=2839&height=1597&format=pjpg&auto=webp",2021-11-17T15:40:46Z,"Spoiler alert: The following contains details from Tiger King 2, currently streaming on Netflix.
Could the second season of Tiger King be enough to free Joe Exotic from his cage in a Texas prison?
… [+5267 chars]",usa-today,USA Today
7,"USA TODAY, Erin Jensen, USA TODAY",'They want to hate on me again': Carole Baskin's 'Cage Fight' with 'Tiger King' fans,"""I'm sad that people fall for something so easily without doing any kind of research,"" Carole Baskin says of the belief she killed husband Don Lewis.",https://www.usatoday.com/story/entertainment/tv/2021/11/18/tiger-king-carole-baskin-cage-fight-documentary-husband-don-lewis/6401561001/,"https://www.gannett-cdn.com/presto/2021/11/17/USAT/bcabc726-1ca9-44db-b11f-a145822b7211-Carole_Baskin_and_Howard_Baskin_at_G.W._Zoo.JPG?auto=webp&crop=4213,2370,x1547,y574&format=pjpg&width=1200",2021-11-18T15:02:08Z,"Netflix unleashed ""Tiger King 2"" Wednesday, but Carole Baskin wants no part of it.
The co-star and originator of the once-ubiquitous greeting, ""Hey, all you cool cats and kittens!"" would prefer that… [+7205 chars]",usa-today,USA Today
8,"USA TODAY, Mike Snider, USA TODAY","Concert surges, fires and shootings: Before Astroworld Festival, these disasters hit music venues","Travis Scott isn't the only musician who has faced disaster and death at live music events. So have Ariana Grande, The Who, Pearl Jam and others.",https://www.usatoday.com/story/entertainment/music/2021/11/06/crowd-surge-before-astroworld-fest-these-deadly-events-happened/6317043001/,https://www.gannett-cdn.com/-mm-/8916714277d269a17bd11e4c46b1600a1741b498/c=0-65-4133-2400/local/-/media/2017/06/04/USATODAY/USATODAY/636321925524154867-692305822.jpg?auto=webp&format=pjpg&width=1200,2021-11-06T21:56:47Z,"An apparent crowd surge at the Astroworld music festival in Houston Friday night where rapper Travis Scott performed has left at least eight people dead and many injured.
What officials called a ""ma… [+7122 chars]",usa-today,USA Today
9,GLHF,"'Genshin Impact' characters: ages, heights, birthdays, and bios","How old is Venti? How tall is Venti? How old is Kaeya? What’s Diona’s Age? How old is Diluc? These are the questions the internet wants answers to, and boy do we have the answers.",https://ftw.usatoday.com/lists/genshin-impact-characters-age-height-birthday,https://ftw.usatoday.com/wp-content/uploads/sites/90/2021/10/Banner.jpg?w=1024&h=576&crop=1,2021-10-30T15:05:34Z,"Genshin Impact has a large number of characters that can turn the tide of the battle in many ways, whether it is by their abilities, the weapons they use, or their elemental synergy, called Elemental… [+17895 chars]",usa-today,USA Today
10,Usa Today,Nancy Mace-led bill would federally decriminalize marijuana,Republican Rep. Nancy Mace  introduced legislation Monday to federally decriminalize marijuana.,https://www.usatoday.com/story/news/politics/2021/11/16/nancy-mace-led-bill-would-federally-decriminalize-marijuana/8643198002/,https://www.gannett-cdn.com/-mm-/b6d84c079eeddce9de2b2e2be1944ad2472390ff/c=0-112-2119-1304/local/-/media/2021/11/14/USATODAY/usatsports/MotleyFool-TMOT-9263175e-marijuana-plants.jpg?auto=webp&format=pjpg&width=1200,2021-11-16T23:05:07Z,"COLUMBIA, S.C. (AP) — Republican Rep. Nancy Mace of South Carolina introduced legislation Monday to federally decriminalize marijuana, a measure she said would give states freer rein to pass their ow… [+3645 chars]",usa-today,USA Today
