,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,ABC News,Sports minister wants sanctions after French football violence,"The French government speaks out against violence in football, after the latest in a series of incidents sees a game abandoned when Marseille's Dmitri Payet is hit by a bottle thrown from the crowd.",https://www.abc.net.au/news/2021-11-23/sports-minister-wants-sanctions-after-french-football-violence/100641884,https://live-production.wcms.abc-cdn.net.au/b5dd542c1ef1e633af47fc58536f03f7?impolicy=wcms_crop_resize&cropH=1814&cropW=3225&xPos=0&yPos=337&width=862&height=485,2021-11-22T22:17:17Z,"French football needs a ""radical"" reality check following more crowd trouble in the league match between Lyon and Marseille, the country's sports minister has warned.
<ul><li>The French government i… [+3840 chars]",abc-news-au,ABC News (AU)
1,Adam Langenberg,Abuse report author shocked at discoveries,The co-author of a review into how Tasmania's education department responded to child sexual abuse allegations was shocked to discover children he attended schools alongside some victims and was taught by some accused abusers.,https://www.abc.net.au/news/2021-11-11/tas-abuse-report-folo-education-tim-mccormack/100611088,https://live-production.wcms.abc-cdn.net.au/8a77e565a7951f6f6c0f12576f7e2118?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=392&width=862&height=485,2021-11-10T18:48:33Z,"The co-author of a review into how Tasmania's Education Department handled child sexual abuse says he was shocked by the extent of what he discovered.
Key points:
<ul><li>Incidents of alleged sexua… [+4386 chars]",abc-news-au,ABC News (AU)
2,Adam Langenberg,"Tasmanian schools abuse findings 'caught me off guard', co-author says",The co-author of a review into how Tasmania's Education Department responded to child sexual abuse allegations was shocked to discover he went to school with some victims and was taught by accused abusers.,https://www.abc.net.au/news/2021-11-11/tas-abuse-report-education-tim-mccormack/100611088,https://live-production.wcms.abc-cdn.net.au/8a77e565a7951f6f6c0f12576f7e2118?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=392&width=862&height=485,2021-11-10T18:48:33Z,"The co-author of a review into how Tasmania's Education Department handled child sexual abuse says he was shocked by the extent of what he discovered.
Key points:
<ul><li>Incidents of alleged sexua… [+4180 chars]",abc-news-au,ABC News (AU)
3,ABC News,"Cambage escapes fine, suspension following Nigerian team incident","Opals star Liz Cambage is handed a formal reprimand after an independent review finds she ""brought Basketball Australia into censure"" during a pre-Olympic clash with Nigeria.",https://www.abc.net.au/news/2021-11-05/basketball-australia-liz-cambage-handed-formal-reprimand/100599318,https://live-production.wcms.abc-cdn.net.au/8a6bd8aef7731f261fc3a7fdabfed369?impolicy=wcms_crop_resize&cropH=2250&cropW=4000&xPos=0&yPos=21&width=862&height=485,2021-11-05T07:52:55Z,"Liz Cambage has escaped a fine or suspension despite an independent review finding the Opals and WNBA star engaged in conduct that brought Basketball Australia (BA) into censure.
<ul><li>An investig… [+1812 chars]",abc-news-au,ABC News (AU)
4,Rani Hayman,DNA breakthrough sees Sydney man arrested over series of sexual assaults,A 51-year-old man is arrested over a series of sexual assaults in Sydney over 15 years ago after police re-opened their investigation and made a DNA match.,https://www.abc.net.au/news/2021-11-29/nsw-police-arrest-man-over-sexual-assaults-across-sydney/100658038,https://live-production.wcms.abc-cdn.net.au/830760aa86425f076fad32d89edbce1c?impolicy=wcms_crop_resize&cropH=1439&cropW=2559&xPos=0&yPos=294&width=862&height=485,2021-11-29T01:59:35Z,"A Sydney man has been arrested after police made a DNA breakthrough in their investigation of a series of sexual assaults more than 15 years ago.
<ul><li>Despite years of investigations, some involv… [+1562 chars]",abc-news-au,ABC News (AU)
5,Adam Langenberg,Tasmanian Education Department sex abuse report details 'concerns' about 41 current staff,"The full findings of a review into child sexual abuse in Tasmanian public schools, which the ABC has obtained, finds there is ""some record of concern"" about more than 40 current employees, including at least three principals, with half potentially requiring f…",https://www.abc.net.au/news/2021-11-10/tas-education-department-review-child-sex-review-concerns-staff/100607564,https://live-production.wcms.abc-cdn.net.au/0c8952b41cb11f0d08cf81c6a55615d9?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=260&width=862&height=485,2021-11-09T20:57:20Z,"A review into child sexual abuse in Tasmanian public schools has found there is ""some record of concern"" about more than 40 current employees, including at least three principals, with half potential… [+5565 chars]",abc-news-au,ABC News (AU)
6,ABC News,US Secretary of State orders probe into 'Havana Syndrome',"The US State Department has named a new coordinator for its investigation into cases of so-called Havana Syndrome, responding to increased pressure to investigate and respond to hundreds of brain injuries reported by diplomats and intelligence officers.",https://www.abc.net.au/news/2021-11-07/blinken-orders-probe-into-havana-syndrome/100600808,https://live-production.wcms.abc-cdn.net.au/b20bfb3f51e02c25b3c92756e871d2ed?impolicy=wcms_crop_resize&cropH=1688&cropW=3000&xPos=0&yPos=317&width=862&height=485,2021-11-06T14:47:15Z,"The US State Department has named a new coordinator for its investigation into cases of so-called Havana Syndrome, responding to increased pressure to investigate and respond to hundreds of brain inj… [+2746 chars]",abc-news-au,ABC News (AU)
7,ABC News,Collingwood AFLW co-captain apologises for historic redface incident,Collingwood AFLW co-captain Steph Chiocci issues an apology after old photos emerged of her wearing redface.,https://www.abc.net.au/news/2021-11-11/collingwood-aflw-co-captain-steph-chiocci-apologises/100613568,https://live-production.wcms.abc-cdn.net.au/da6a2ebb28cd15542de3ea4a014c1960?impolicy=wcms_crop_resize&cropH=311&cropW=552&xPos=0&yPos=62&width=862&height=485,2021-11-11T05:59:10Z,"Collingwood AFLW co-captain Steph Chiocci has apologised after old photos emerged of her wearing redface.
<ul><li>The photos of Chiocci were taken in 2010</li><li>Chiocci says she is now aware of ""t… [+2431 chars]",abc-news-au,ABC News (AU)
8,Tracey Holmes,Australia's Human Rights Commission takes fight against racism to a new level,"The Australian Human Rights Commission flips the onus in tackling crowd-based racism to encourage the sports themselves, and the venues they are played in, to be proactive in calling out poor behaviour.",https://www.abc.net.au/news/2021-11-17/human-rights-commission-racism-in-sport/100626062,https://live-production.wcms.abc-cdn.net.au/fc9364f409e09667455f7c24f2d142a8?impolicy=wcms_crop_resize&cropH=1688&cropW=3000&xPos=0&yPos=0&width=862&height=485,2021-11-16T17:58:48Z,"The Australian Human Rights Commission (AHRC) has flipped the onus in tackling crowd-based racism to encourage the sports themselves, and the venues they are played in, to be proactive in calling out… [+6350 chars]",abc-news-au,ABC News (AU)
9,Kate McKenna,"Probe finds 'poor leadership', lack of enthusiasm for safety at Caboolture hospital",Empathy training is recommended for all staff at Caboolture Hospital after a probe finds there was poor leadership and a lack of enthusiasm for safety and quality.,https://www.abc.net.au/news/2021-11-03/qld-caboolture-hospital-independent-review-findings/100590722,https://live-production.wcms.abc-cdn.net.au/ddb855a718365d4e4d1f313b7a1e775a?impolicy=wcms_crop_resize&cropH=2205&cropW=3920&xPos=0&yPos=42&width=862&height=485,2021-11-03T06:31:11Z,"Empathy training has been recommended for all staff at Caboolture Hospital after a probe found there was poor leadership and a lack of enthusiasm for safety and quality.
Key points:
<ul><li>Cases o… [+5629 chars]",abc-news-au,ABC News (AU)
