,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Conor Finnegan, Matt Seyler",Blinken details new efforts to investigate 'Havana syndrome',"Secretary of State Antony Blinken spoke about new efforts to investigate ""Havana syndrome"" from the State Department on Friday.",https://abcnews.go.com/Politics/blinken-details-efforts-investigate-havana-syndrome/story?id=80991396,https://s.abcnews.com/images/International/blinken-gty-rc-211105_1636120016234_hpMain_16x9_992.jpg,2021-11-05T15:40:43Z,"Secretary of State Antony Blinken on Friday detailed new efforts to investigate ""Havana syndrome,"" the mysterious health affliction affecting dozens of U.S. personnel first identified in Cuba and now… [+3111 chars]",abc-news,ABC News
1,Conor Finnegan,Blinken speaks on new efforts to investigate 'Havana syndrome',"Secretary of State Antony Blinken spoke about new efforts to investigate ""Havana syndrome"" from the State Department on Friday.",https://abcnews.go.com/Politics/blinken-speaks-efforts-investigate-havana-syndrome/story?id=80991396,https://s.abcnews.com/images/International/blinken-gty-rc-211105_1636120016234_hpMain_16x9_992.jpg,2021-11-05T14:31:32Z,"Secretary of State Antony Blinken on Friday spoke about efforts to investigate ""Havana syndrome,"" the mysterious health affliction affecting dozens of U.S. personnel first identified in Cuba and now … [+2468 chars]",abc-news,ABC News
2,Ivan Pereira,Senators push Justice Department to crack down on illegal gun modifications,U.S. senators Amy Klobuchar and Cory Booker are urging the Justice Department to come up with a strategy to deal with rise in illegal semi-automatic gun mods.,https://abcnews.go.com/Politics/senators-push-justice-department-crack-illegal-gun-modifications/story?id=80927340,https://s.abcnews.com/images/US/glock-guns-gty-ps-211102_1635877233748_hpMain_16x9_992.jpg,2021-11-02T21:24:12Z,"They're cheap, easy to produce and can make guns more dangerous in minutes.
Gun modifications are becoming a problem for the country as the number of shooting incidents linked to automatic weapons i… [+2298 chars]",abc-news,ABC News
3,,"Southwest employee hospitalized after being assaulted by passenger, airline says",The incident took place during the boarding process.,https://abcnews.go.com/US/southwest-employee-hospitalized-assaulted-passenger-airline/story?id=81159451,https://s.abcnews.com/images/US/211112_vod_onlocation_hpMain_16x9_992.jpg,2021-11-14T04:16:40Z,"A Southwest Airlines employee was verbally and physically assaulted by a female passenger Saturday and had to be transported to a local hospital, according to the airline.
The incident took place du… [+824 chars]",abc-news,ABC News
4,The Associated Press,"Thanksgiving air travel to rebound to 2019 levels, TSA says","The number of airline passengers traveling for Thanksgiving this year is expected to rebound to pre-coronavirus pandemic levels, but the Transportation Security Administration says it is ready to handle the surge",https://abcnews.go.com/Lifestyle/wireStory/thanksgiving-air-travel-rebound-2019-levels-tsa-81225024,https://s.abcnews.com/images/Lifestyle/WireAP_fc4d71161175471a8f1fe0967a41a1c6_16x9_992.jpg,2021-11-17T13:16:50Z,"WASHINGTON -- The number of airline passengers traveling for Thanksgiving this year is expected to rebound to pre-coronavirus pandemic levels, but the Transportation Security Administration says it i… [+1390 chars]",abc-news,ABC News
5,Meredith Deliso,USC president admits 'troubling delay' in acting on sexual assault reports,"There was a ""troubling delay"" in acting on multiple reports of possible drugging and sexual assault at a University of Southern California fraternity, president says.",https://abcnews.go.com/US/usc-president-admits-troubling-delay-acting-multiple-sexual/story?id=80874624,https://s.abcnews.com/images/US/sigma-nu-sh-er-211030_1635608156396_hpMain_16x9_992.jpg,2021-10-30T17:16:20Z,"There was a ""troubling delay"" in acting on multiple reports of possible drugging and sexual assault at a University of Southern California fraternity, the school's president acknowledged in a letter … [+2906 chars]",abc-news,ABC News
6,Kiara Alfonseca,Mom fatally shot at memorial for son killed days earlier,A Chicago mother and her son were killed just days apart.,https://abcnews.go.com/US/mom-fatally-shot-memorial-son-killed-days-earlier/story?id=81393543,https://s.abcnews.com/images/US/police-lights-gty-er-190114_hpMain_16x9_992.jpg,2021-11-25T16:30:13Z,"Delisa Tucker was just steps away from her son's memorial early Wednesday morning when she was fatally shot.
She had lost 14-year-old Kevin Tinker to gun violence the Sunday before, and friends said… [+1262 chars]",abc-news,ABC News
7,"Mina Kaji, Sam Sweeney",American passenger charged after allegedly punching flight attendant twice,American passenger charged with assault and interference with flight crew,https://abcnews.go.com/Travel/american-passenger-charged-allegedly-punching-flight-attendant/story?id=80908956,https://s.abcnews.com/images/US/american-airlines-assault-ht-jt-211101_1635793844485_hpMain_16x9_992.jpg,2021-11-01T19:34:42Z,"An American Airlines passenger who allegedly punched a flight attendant in the face faces up to 20 years in prison.
Brian Hsu, 20, was charged with assault and interference with a flight crew on Mon… [+2142 chars]",abc-news,ABC News
8,"Rick Klein, Averi Harper, Danielle DuClos",Trials add to tensions as perceptions diverge and divide: The Note,We now stand at a moment where what happens in two courtrooms will tell us something broader about the national mood.,https://abcnews.go.com/Politics/trials-add-tensions-perceptions-diverge-divide-note/story?id=81091958,https://s.abcnews.com/images/Politics/arbery-rt-er-211110_1636587145415_hpMain_16x9_992.jpg,2021-11-11T11:18:15Z,"The TAKE with Rick Klein
Trials are always first and foremost about the facts of an individual case and what goes on inside the courtroom itself.
But we now stand at a moment when what happens in t… [+6259 chars]",abc-news,ABC News
9,KIM CHANDLER Associated Press,"DOJ: Alabama prisons unimproved, remain violent and deadly",The U.S. Department of Justice says conditions in Alabama prisons have not improved since the federal government warned the state of unconstitutional conditions three years ago,https://abcnews.go.com/Politics/wireStory/doj-alabama-prisons-unimproved-remain-violent-deadly-81379864,https://s.abcnews.com/images/US/200206_atm_msprisons_hpMain_16x9_992.jpg,2021-11-24T20:35:22Z,"MONTGOMERY, Ala. -- The U.S. Department of Justice says conditions in Alabama prisons have not improved since the federal government warned the state of unconstitutional conditions three years ago an… [+3869 chars]",abc-news,ABC News
10,Meredith Deliso,"Mall shootings, flash mob thefts mark Black Friday","Several mall shootings and flash mob robbery sprees put a pallor on Black Friday, one of the busiest shopping days of the year.",https://abcnews.go.com/US/mall-shootings-flash-mob-thefts-mark-black-friday/story?id=81421778,https://s.abcnews.com/images/US/mall-1-ap-er-211127_1638030111899_hpMain_16x9_992.jpg,2021-11-27T18:12:04Z,"Several mall shootings and flash mob robbery sprees cast a pall on Black Friday, one of the busiest shopping days of the year.
Three people were shot, including a 10-year-old, and another three suff… [+3730 chars]",abc-news,ABC News
11,Deena Zaru,Lessons from a 'violence interrupter' as shootings continue to ravage Chicago,Reggie Woods lost family and friends to gun violence in Chicago and served time for being a perpetrator of gun violence. Now he's on the front lines of prevention.,https://abcnews.go.com/Politics/lessons-violence-interrupter-shootings-continue-ravage-chicago/story?id=80462349,https://s.abcnews.com/images/US/gun-violence-woods-01-ht-llr-211026_1635277568374_hpMain_16x9_992.jpg,2021-11-09T11:04:43Z,"This report is a part of ""Rethinking Gun Violence,"" an ABC News series examining the level of gun violence in the U.S. -- and what can be done about it. American Epidemic: One Nation Under Fire is on… [+13139 chars]",abc-news,ABC News
12,Kiara Alfonseca,What's behind the rise in gun ownership by people of color?,"Concerns about racism, hate crimes, and police brutality are sending more people of color to buy guns than before.",https://abcnews.go.com/US/rise-gun-ownership-people-color/story?id=80008877,https://s.abcnews.com/images/US/asian-gun-ownership1-02-gty-iwb-210914_1631629932275_hpMain_2_16x9_992.jpg,2021-11-04T10:15:43Z,"This report is a part of ""Rethinking Gun Violence,"" an ABC News series examining the level of gun violence in the U.S. -- and what can be done about it.
After months of anti-Asian hate incidents mak… [+7846 chars]",abc-news,ABC News
13,Adia Robinson,Ballot question asks Minneapolis voters to consider replacing police department,"Following the death of George Floyd, Minneapolis voters will consider a ballot proposal on replacing the police department with a department of public safety.",https://abcnews.go.com/US/ballot-question-asks-minneapolis-voters-replacing-police-department/story?id=80842136,https://s.abcnews.com/images/US/minneapolis-city-council-defund-police-gty-jt-211029_1635547625565_hpMain_16x9_992.jpg,2021-11-01T10:19:28Z,"The future of the Minneapolis Police Department may be decided on Tuesday.
A ballot measure is asking voters if the city should amend its charter to replace the police department with the Department… [+5514 chars]",abc-news,ABC News
14,Ivan Pereira,'We all bear a burden': How gun violence costs America $280 billion a year,"While gun violence directly affect thousands every year in the U.S., every American feels the economic impact.",https://abcnews.go.com/US/bear-burden-gun-violence-costs-america-280-billion/story?id=80245349,https://s.abcnews.com/images/US/brooklyn-shooting-ap-jc-211026_1635290443447_hpMain_16x9_992.jpg,2021-11-02T10:24:22Z,"This report is a part of ""Rethinking Gun Violence,"" an ABC News series examining the level of gun violence in the U.S. -- and what can be done about it.
In the debate about gun violence, advocates o… [+7443 chars]",abc-news,ABC News
15,Kasim Kabbara,Can therapy help break the cycle of gun violence?,One licensed therapist born and raised in West Philadelphia is helping heal the psychological wounds caused by gun violence and break the cycle.,https://abcnews.go.com/Politics/therapy-break-cycle-gun-violence/story?id=80462843,https://s.abcnews.com/images/US/philadelphia-crime-scene-01-gty-jt-211110_1636596589953_hpMain_16x9_992.jpg,2021-11-11T11:05:50Z,"This report is a part of ""Rethinking Gun Violence,"" an ABC News series examining the level of gun violence in the U.S. -- and what can be done about it.
Philadelphia's murder rate is on pace to set … [+8153 chars]",abc-news,ABC News
