,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Al Jazeera Staff,Tackling ‘Havana Syndrome’ is ‘urgent priority’ for US: Blinken,"Administration is pushing to identify source of 'anomalous health incidents' experienced by US diplomats, Blinken says.",https://www.aljazeera.com/news/2021/11/5/blinken-vows-to-get-to-the-bottom,https://www.aljazeera.com/wp-content/uploads/2021/11/2021-11-05T150126Z_2107283005_RC2EOQ9SF7RZ_RTRMADP_3_USA-BLINKEN-HAVANA-SYNDROME.jpg?resize=1200%2C630,2021-11-05T17:31:32Z,"The Biden administration is committed to getting to the bottom of why many US diplomats are suffering from mysterious health symptoms known as the Havana Syndrome, Secretary of State Antony Blinken h… [+2940 chars]",al-jazeera-english,Al Jazeera English
1,Al Jazeera,UN accuses CAR troops of wounding 10 Egyptian peacekeepers,Gov't denies allegation after MINUSCA says presidential guards fired on unarmed unit travelling on bus marked 'UN'.,https://www.aljazeera.com/news/2021/11/2/un-accuses-car-troops-of-wounding-10-egyptian-peacekeepers,https://www.aljazeera.com/wp-content/uploads/2021/11/2017-04-26T120000Z_1018726288_RC153D9F5D20_RTRMADP_3_CENTRAL-AFRICAN-REPUBLIC-UNREST.jpg?resize=1200%2C630,2021-11-02T16:30:26Z,The United Nations mission in the Central African Republic (CAR) has said the countrys presidential guard opened fire on unarmed Egyptian peacekeepers and wounded 10 of them an allegation rejected by… [+2367 chars],al-jazeera-english,Al Jazeera English
2,Al Jazeera,450 settler attacks on Palestinians in two years: Israeli NGO,"Israeli forces are not intervening to stop the attacks in most cases, and often actively join in, B'Tselem says.",https://www.aljazeera.com/news/2021/11/14/450-settler-attacks-on-palestinians-in-two-years-israeli-ngo,https://www.aljazeera.com/wp-content/uploads/2021/11/000_9PF8BP.jpg?resize=1200%2C630,2021-11-14T16:14:31Z,"An Israeli rights group has said it documented 451 incidents of settler violence on Palestinians since early 2020, with Israeli forces not intervening to stop the attacks in the majority of cases.
I… [+3317 chars]",al-jazeera-english,Al Jazeera English
3,Al Jazeera,Ten killed in fire at Indian hospital COVID ward,An official told New Delhi Television that about 17 patients were in the Maharashtra ward when the fire broke out.,https://www.aljazeera.com/news/2021/11/6/several-killed-fire-indian-hospital-covid-ward,https://www.aljazeera.com/wp-content/uploads/2021/11/AP21310367162667.jpg?resize=1200%2C630,2021-11-06T11:16:42Z,"Ten patients have died after a fire broke out in a hospitals COVID-19 ward in the western Indian state of Maharashtra, officials said.
An official told New Delhi Television that around 17 patients w… [+1398 chars]",al-jazeera-english,Al Jazeera English
4,Al Jazeera,Multiple people wounded in knife attack on German train,Man arrested in connection with attack on a high-speed train traveling between the cities of Regensburg and Nuremberg.,https://www.aljazeera.com/news/2021/11/6/multiple-people-wounded-in-knife-attack-on-german-train,https://www.aljazeera.com/wp-content/uploads/2021/11/AP18244486145085.jpg?resize=1200%2C630,2021-11-06T12:05:55Z,"A knife attack on a high-speed train in Germany has injured several people, police have confirmed.
Local police told The Associated Press news agency that they received a call about the attack at ap… [+1391 chars]",al-jazeera-english,Al Jazeera English
5,Al Jazeera,Qatar welcomes ILO report despite admitted data gaps,"Organisation says most workers who suffered occupational injuries came from Bangladesh, India and Nepal.",https://www.aljazeera.com/news/2021/11/20/ilo-says-50-workers-died-in-qatar-in-2020-finds-data-gaps,https://www.aljazeera.com/wp-content/uploads/2020/06/0fc1f2b7a82c41f499dbd92565f39328_18.jpeg?fit=999%2C562,2021-11-20T13:39:38Z,"An analysis of deaths of migrant labourers in Qatar has shown gaps in the countys data collection and differences in the way work-related incidents are characterised, according to a new report by the… [+4218 chars]",al-jazeera-english,Al Jazeera English
6,Al Jazeera,Iran says foiled US navy’s attempt to seize tanker in Sea of Oman,Iranian state TV describes the incident as a failed attempt to 'steal' oil as Tehran prepares for nuclear talks.,https://www.aljazeera.com/news/2021/11/3/iran-says-halted-us-navy-seizing-oil-tanker-in-sea-of-oman,https://www.aljazeera.com/wp-content/uploads/2019/07/a8a6f15651664fad891f54c24a2f318d_18.jpeg?fit=1000%2C562,2021-11-03T12:20:45Z,"Iran says it has thwarted an attempt by the US navy to seize a tanker in the Sea of Oman carrying its oil, state television reported.
It gave no details of the date of the incident or the country wh… [+2080 chars]",al-jazeera-english,Al Jazeera English
7,Al Jazeera,Bangladesh votes in rural council elections amid fear of violence,"The largest opposition party is boycotting polls, saying a skewed political atmosphere is preventing fair participation.",https://www.aljazeera.com/news/2021/11/11/bangladesh-rural-council-elections-violence-opposition-boycott,https://www.aljazeera.com/wp-content/uploads/2021/11/AP21312148265922.jpg?resize=1200%2C630,2021-11-11T04:12:23Z,"Bangladesh is holding village council elections that are certain to further consolidate the ruling partys power but have raised concerns about the state of democracy in the South Asian nation.
The l… [+2123 chars]",al-jazeera-english,Al Jazeera English
8,Al Jazeera,"Canada rains cause city evacuation, shut down major oil pipeline","Officials in Merrit, British Columbia, order residents to leave as floodwaters 'inundated two bridges'.",https://www.aljazeera.com/news/2021/11/15/canada-rains-cause-city-evacuation-shut-down-major-oil-pipeline,https://www.aljazeera.com/wp-content/uploads/2021/11/2021-11-15T171227Z_1125661441_RC25VQ91943S_RTRMADP_3_CANADA-FLOOD.jpg?resize=1200%2C630,2021-11-15T21:34:01Z,"Massive rainstorms have lashed the western Canadian province of British Columbia on Monday, triggering landslides, shutting roads, prompting the evacuation of an entire town and forcing an oil pipeli… [+2368 chars]",al-jazeera-english,Al Jazeera English
9,Al Jazeera,Dozens of inmates killed in latest Ecuador prison clashes,"Police say 58 prisoners killed, 12 wounded in another round of violence to hit Penitenciaria del Litoral in Guayaquil.",https://www.aljazeera.com/news/2021/11/13/dozens-of-inmates-killed-in-ecuador-prison-clashes,https://www.aljazeera.com/wp-content/uploads/2021/11/000_9QW64G.jpg?resize=1200%2C630,2021-11-13T16:54:56Z,"At least 58 inmates have been killed in fierce clashes in a prison in Ecuadors largest city of Guayaquil, according to police.
Police General Tannya Varela told reporters on Saturday that an additio… [+1996 chars]",al-jazeera-english,Al Jazeera English
