,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Michael Balsamo,DOJ to prioritize prosecuting violence on flights...,"DOJ to prioritize prosecuting violence on flights...

 
 
 
 (Third column, 6th story, link)

 

 

 
 Related stories:THE GREAT GETAWAY!
Thanksgiving challenges airlines as travel nears pre-pandemic levels...
Americans Expect To Gain 8 Pounds During Ho…",https://apnews.com/article/business-merrick-garland-c3b947f81b4281266f9f97eb279db3ba,https://storage.googleapis.com/afs-prod/media/8324814a8e644ffa8202dd6fb354022f/3000.jpeg,2021-11-24T22:37:39Z,WASHINGTON (AP) Attorney General Merrick Garland directed U.S. attorneys across the country to swiftly prioritize prosecution of federal crimes that happen on commercial flights as federal officials … [+2276 chars],associated-press,Associated Press
1,,Van Morrison sued over COVID criticism...,"LONDON (AP) — Northern Ireland’s health minister is suing Van Morrison after the singer called him “very dangerous” for his handling of coronavirus restrictions. The Belfast-born singer opposes restrictions to curb the spread of the virus, and has released se…",https://apnews.com/article/coronavirus-pandemic-entertainment-music-arts-and-entertainment-health-9811c0204c3913f4f9ac846acb61e918,https://storage.googleapis.com/afs-prod/media/2b45e61cca8d48a9a66336a7eb68cb1a/2237.jpeg,2021-11-08T12:19:38Z,"LONDON (AP) Northern Irelands health minister is suing Van Morrison after the singer called him very dangerous for his handling of coronavirus restrictions.
The Belfast-born singer opposes restricti… [+907 chars]",associated-press,Associated Press
2,,"Shots fired at police, journalists in Martinique riots...","PARIS (AP) — Shots were fired overnight at security forces and journalists on the French Caribbean island of Martinique amid violent protests against COVID-19 restrictions, France's interior minister said on Friday.",https://apnews.com/article/coronavirus-pandemic-health-business-caribbean-france-87b84e89efad9e7deb59d90dc6c1b5a9,https://storage.googleapis.com/afs-prod/media/afs:Medium:751921853724/700.png,2021-11-26T18:19:37Z,"PARIS (AP) Shots were fired overnight at security forces and journalists on the French Caribbean island of Martinique amid violent protests against COVID-19 restrictions, Frances interior minister sa… [+2214 chars]",associated-press,Associated Press
3,Chinedu Asadu,At least 3 dead after high rise in Nigeria collapses - Associated Press,"<ol><li>At least 3 dead after high rise in Nigeria collapses  Associated Press
</li><li>Dozens reportedly trapped after 21-storey building collapses in Nigeria's Lagos  Al Jazeera English
</li><li>21-story building collapses in Lagos, Nigeria  CNN
</li><li…",https://apnews.com/article/business-africa-lagos-nigeria-032126270daf9fdce3f58190d22fde2f,https://storage.googleapis.com/afs-prod/media/1ab1b29efedb43fe9344e2aa35bec8d9/3000.jpeg,2021-11-01T17:37:30Z,"LAGOS, Nigeria (AP) A 21-story apartment building under construction collapsed in an upscale area of Nigerias largest city, killing at least three people and leaving dozens more missing, officials an… [+1173 chars]",associated-press,Associated Press
4,Jason Dearen,White supremacist prison guards work with impunity in FL?,"In June, three Florida prison guards who boasted of being white supremacists beat, pepper sprayed and used a stun gun on an inmate who screamed “I can’t breathe!” at a prison near the Alabama border, according to a fellow inmate who reported it to the state.",https://apnews.com/article/business-prisons-florida-race-and-ethnicity-racial-injustice-60b96681445509d89e6c0497405497d6,https://storage.googleapis.com/afs-prod/media/17a5232d469d4a408e73c99b06bd1a87/3000.jpeg,2021-11-19T12:52:41Z,"In June, three Florida prison guards who boasted of being white supremacists beat, pepper sprayed and used a stun gun on an inmate who screamed I cant breathe! at a prison near the Alabama border, ac… [+12409 chars]",associated-press,Associated Press
5,Terry Tang,"'SESAME STREET' debuts Ji-Young, first Asian American muppet...","What's in a name? Well, for Ji-Young, the newest muppet resident of “Sesame Street,” her name is a sign she was meant to live there. “So, in Korean traditionally the two syllables they each mean something different and Ji means, like, smart or wise.",https://apnews.com/article/sesame-street-asian-american-muppet-ji-young-390bd29ba9d986524b242e9fa69695be,https://storage.googleapis.com/afs-prod/media/a63332225b7d481b97c9c48bb0961451/3000.jpeg,2021-11-16T01:31:40Z,"Whats in a name? Well, for Ji-Young, the newest muppet resident of Sesame Street, her name is a sign she was meant to live there.
So, in Korean traditionally the two syllables they each mean somethi… [+6308 chars]",associated-press,Associated Press
6,Terry Tang,AP Exclusive: 'Sesame Street' debuts Asian American muppet - Associated Press,"What's in a name? Well, for Ji-Young, the newest muppet resident of “Sesame Street,” her name is a sign she was meant to live there. “So, in Korean traditionally the two syllables they each mean something different and Ji means, like, smart or wise.",https://apnews.com/article/entertainment-lifestyle-osaka-racial-injustice-race-and-ethnicity-390bd29ba9d986524b242e9fa69695be,https://storage.googleapis.com/afs-prod/media/a63332225b7d481b97c9c48bb0961451/3000.jpeg,2021-11-15T03:01:39Z,"Whats in a name? Well, for Ji-Young, the newest muppet resident of Sesame Street, her name is a sign she was meant to live there.
So, in Korean traditionally the two syllables they each mean somethi… [+6308 chars]",associated-press,Associated Press
7,Qassim Abdul-zahra,"Iraqi PM survives assassination attempt, ramping up tensions - Associated Press","<ol><li>Iraqi PM survives assassination attempt, ramping up tensions  Associated Press
</li><li>Iraqi Prime Minister survives exploding drone assassination attempt  CNN
</li><li>What's next for Iraq after October's election? | Inside Story  Al Jazeera Engli…",https://apnews.com/article/middle-east-religion-iran-elections-iraq-28fe31151ed74ca6f7ef313793765824,https://storage.googleapis.com/afs-prod/media/66ea5f2632c042999d84737e36a86dcc/2008.jpeg,2021-11-07T11:26:15Z,This photo provided by the Iraqi Prime Minister's Media Office shows the aftermath of an assassination attempt at the home of Iraq's Prime Minister Mustafa al-Kadhimi in the heavily fortified Green Z… [+7695 chars],associated-press,Associated Press
8,Michael Balsamo,"Inside federal prisons, employees are committing the crimes - Associated Press","WASHINGTON (AP) — More than 100 federal prison workers have been arrested, convicted or sentenced for crimes since the start of 2019, including a warden indicted for sexual abuse , an associate warden charged with murder , guards taking cash to smuggle drugs …",https://apnews.com/article/coronavirus-pandemic-business-personnel-health-arrests-5be574b4103a2f5420e0d9da2daf5c9c,https://storage.googleapis.com/afs-prod/media/9f83d4f4f10a46b5b859384e71a1bae8/3000.jpeg,2021-11-14T14:54:46Z,"WASHINGTON (AP) More than 100 federal prison workers have been arrested, convicted or sentenced for crimes since the start of 2019, including a warden indicted for sexual abuse, an associate warden c… [+8326 chars]",associated-press,Associated Press
9,,Police kill one man in Missouri shooting that wounded five,COLUMBIA — Police shot and killed one man as they responded to a shootout in downtown Columbia that left five people injured early Sunday morning.,https://apnews.com/70f0be14d8acc178511723ff38781fb5,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/2/a1/2a17cc78-f0be-5730-91ce-b57eb8156c42/6191bd4259bf3.preview.jpg?crop=300%2C169%2C0%2C28&resize=356%2C200&order=crop%2Cresize,2021-11-14T23:18:00Z,"COLUMBIA Police shot and killed one man as they responded to a shootout in downtown Columbia that left five people injured early Sunday morning.
Columbia Police Chief Geoff Jones said two people wer… [+1077 chars]",associated-press,Associated Press
