,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Bob Price, 
Bob Price",26 Migrants Found Packed in Work Van near Border in Arizona,Tucson Sector Border Patrol agents responded to a dangerous human smuggling incident where 26 migrants were packed into a work van. These types of incidents make the vehicle unstable and frequently end in deadly crashes.,https://www.breitbart.com/border/2021/11/02/26-migrants-found-packed-in-work-van-near-border-in-arizona/,https://media.breitbart.com/media/2021/11/FC9lRCKXEAMtLjt-640x335.jpg,2021-11-02T14:10:39Z,Tucson Sector Border Patrol agents responded to a dangerous human smuggling incident where 26 migrants were packed into a work van. These types of incidents make the vehicle unstable and frequently e… [+2719 chars],breitbart-news,Breitbart News
1,"Bob Price, 
Bob Price",86 Migrants Found in Human Smuggling Stash Houses in Texas near Border,Border Patrol agents in South Texas recovered 86 migrants from human smuggling stash houses near the border. The incidents took place in the Laredo and Rio Grande Valley Sectors.,https://www.breitbart.com/border/2021/11/06/86-migrants-found-in-human-smuggling-stash-houses-in-texas-near-border/,https://media.breitbart.com/media/2021/11/human-smuggling-stash-house-in-Laredo-640x335.jpg,2021-11-06T19:09:33Z,"Border Patrol agents in South Texas recovered 86 migrants from human smuggling stash houses near the border. The incidents took place in the Laredo and Rio Grande Valley Sectors.
Laredo Sector agent… [+2494 chars]",breitbart-news,Breitbart News
2,"Ildefonso Ortiz and Brandon Darby, 
Ildefonso Ortiz and Brandon Darby",Mexican Cops Find 600 Migrants from 12 Countries Stuffed Inside Two Trucks,"Mexican authorities found and detained 600 migrants who were stuffed inside two tractor-trailers in human smuggling incidents attempting to reach the U.S.-Mexico border. Authorities reported several of the migrants as being from Bangladesh, India, Ghana, Came…",https://www.breitbart.com/border/2021/11/21/cops-in-mexico-find-600-migrants-stuffed-inside-2-trucks/,https://media.breitbart.com/media/2019/06/Migrants-Returned-to-Mexico-640x335.jpg,2021-11-21T17:44:03Z,Mexican authorities found and detained 600 migrants who were stuffed inside two tractor-trailers in human smuggling incidents attempting to reach the U.S.-Mexico border. Authorities reported several … [+2288 chars],breitbart-news,Breitbart News
3,"Kurt Zindulka, 
Kurt Zindulka","Khan's London: Bloody Evening Leaves Man Dead, Woman in Eighties Stabbed, Two Shot",A bloody evening in London has seen a double shooting and a stabbing attack that left a man dead and an elderly woman in critical condition.,https://www.breitbart.com/europe/2021/11/13/khans-london-one-dead-two-shot-and-elderly-woman-critical/,https://media.breitbart.com/media/2021/11/GettyImages-1231026422-640x335.png,2021-11-13T11:04:29Z,"A bloody evening in London saw a stabbing attack in Brentford in which one man was killed and an elderly woman left fighting for her life and a double shooting in Ealing.
On Friday evening at around… [+3205 chars]",breitbart-news,Breitbart News
4,"Ashley Oliver, 
Ashley Oliver",Pennsylvania Senate Candidate Sean Parnell Suspends Campaign After Custody Loss: ‘I'm Devastated by’ Court Decision,Pennsylvania Republican Sean Parnell announced he is suspending his Senate campaign after his estranged wife was granted legal custody of their children in a court ruling on Monday morning.,https://www.breitbart.com/politics/2021/11/22/pennsylvania-senate-candidate-sean-parnell-suspends-campaign-after-custody-loss-im-devastated-by-court-decision/,https://media.breitbart.com/media/2020/06/Sean-Parnell-for-Congress-640x335.jpg,2021-11-22T22:06:35Z,"Pennsylvania Republican Sean Parnell announced he is suspending his Senate campaign after his estranged wife was granted legal custody of their children in a court ruling on Monday morning.
Parnell … [+3616 chars]",breitbart-news,Breitbart News
5,"Joel B. Pollak, 
Joel B. Pollak","Couples Give Birth to Each Other's Babies, Accuse Fertility Clinic of IVF Mixup","Two couples gave birth to each other's biological babies after a Los Angeles clinic, the California Center for Reproductive Health, allegedly implanted the wrong embryos in the respective mothers.",https://www.breitbart.com/local/2021/11/09/couples-give-birth-to-each-others-babies-accuse-fertility-clinic-of-ivf-mixup/,https://media.breitbart.com/media/2017/12/hospital-nursery-babies-getty.jpg,2021-11-09T13:31:36Z,"LOS ANGELES, California — Two couples gave birth to each other’s biological babies after a Los Angeles clinic, the California Center for Reproductive Health, allegedly implanted the wrong embryos in … [+1957 chars]",breitbart-news,Breitbart News
6,"Gabrielle Reyes, 
Gabrielle Reyes",Pakistan Passes Law to Chemically Castrate Rapists,"Pakistan's parliament passed a bill on Wednesday introducing chemical castration as a possible punishment for serial rapists in the country, Dawn.com reported.",https://www.breitbart.com/asia/2021/11/18/pakistan-passes-law-chemically-castrate-rapists/,https://media.breitbart.com/media/2020/05/AP_19313485753505-640x335.png,2021-11-18T21:25:36Z,"Pakistan’s parliament passed a bill on Wednesday introducing chemical castration as a possible punishment for serial rapists in the country, Dawn.com reported.
The new law went into immediate effect… [+2483 chars]",breitbart-news,Breitbart News
7,"Jeff Poor, 
Jeff Poor",Gingrich: Waukesha Suspect 'Should Be Treated as a Terrorist',"Former House Speaker Newt Gingrich took direct aim at the left during an appearance on FNC's ""The Ingraham Angle"" on Monday, singling out both President Joe Biden and left-wing financier George Soros. | Clips",https://www.breitbart.com/clips/2021/11/23/gingrich-waukesha-suspect-should-be-treated-as-a-terrorist/,https://media.breitbart.com/media/2017/10/Newt-Gingrich-nafta-2-0-summit-getty.jpg,2021-11-23T14:59:45Z,"Former House Speaker Newt Gingrich took direct aim at the left during an appearance on FNC’s “The Ingraham Angle” on Monday, singling out both President Joe Biden and left-wing financier George Soros… [+2062 chars]",breitbart-news,Breitbart News
8,"Breitbart London, 
Breitbart London","Tourist Bus Crashes, Burns, Killing at Least 45 in Bulgaria",A bus carrying North Macedonians home from a tourist trip to Istanbul crashed and caught fire in western Bulgaria early Tuesday.,https://www.breitbart.com/europe/2021/11/23/tourist-bus-crashes-burns-killing-at-least-45-in-bulgaria/,https://media.breitbart.com/media/2021/11/GettyImages-1236746273-e1637668357640-640x335.jpg,2021-11-23T11:53:39Z,"SOFIA, Bulgaria (AP) – A bus carrying North Macedonians home from a tourist trip to Istanbul crashed and caught fire in western Bulgaria early Tuesday, killing at least 45 people, authorities and loc… [+1924 chars]",breitbart-news,Breitbart News
9,"Breccan F. Thies, 
Breccan F. Thies",Manhattan School to Racially Segregate Children for Social Justice Talks,"The Lower Manhattan Community School racially segregated its students this week to grapple with the question, ""How do our racial identities influence our experiences?"" according to the New York Post.",https://www.breitbart.com/politics/2021/11/26/manhattan-school-racially-segregate-children-social-justice-talks/,https://media.breitbart.com/media/2021/06/Middle-School-640x335.jpeg,2021-11-26T19:40:52Z,"The Lower Manhattan Community School racially segregated its students this week to grapple with the question, “How do our racial identities influence our experiences?” according to the New York Post.… [+2365 chars]",breitbart-news,Breitbart News
