,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Caroll Alvarado and Melissa Alonso, CNN",4 teens were charged for an anti-Asian attack on a Philadelphia train,"Four teenagers are facing ethnic intimidation charges for an attack involving a group of Asian students on a Philadelphia train this week, said Philadelphia District Attorney Larry Krasner.",https://www.cnn.com/2021/11/19/us/philadelphia-anti-asian-attack-charges/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211119160249-septa-train-attack-presser-chief-nestel-super-tease.jpg,2021-11-19T21:27:41Z,"(CNN)Four teenagers are facing ethnic intimidation charges for an attack involving a group of Asian students on a Philadelphia train this week, said Philadelphia District Attorney Larry Krasner. 
Th… [+2966 chars]",cnn,CNN
1,"Clare Duffy, CNN Business",Former Apple employee who claims she was fired for #AppleToo organizing files NLRB complaint,A former Apple employee who helped form the #AppleToo movement against alleged harassment and discrimination inside the company told the National Labor Relations Board in a complaint on Tuesday that she believes she was fired in retaliation for her organizing…,https://www.cnn.com/2021/11/03/tech/apple-appletoo-janneke-parrish-nlrb-complaint/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211015161240-restricted-apple-file-super-tease.jpg,2021-11-03T16:55:08Z,New York (CNN Business)A former Apple employeewho helped form the #AppleToo movement against alleged harassment and discrimination inside the company told the National Labor Relations Board in a comp… [+3940 chars],cnn,CNN
2,"Pete Muntean, CNN",FAA has sent only 37 unruly passenger cases to DOJ,"The Federal Aviation Administration -- which cannot prosecute violent airline passengers -- has sent only 37 of the more than 5,000 passenger complaints this year to the Justice Department, highlighting a significant challenge when it comes to enforcing the s…",https://www.cnn.com/2021/11/04/politics/faa-unruly-passengers-doj/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211103190707-faa-unruly-passengers-doj-super-tease.jpg,2021-11-04T11:00:41Z,"(CNN)The Federal Aviation Administration -- which cannot prosecute violent airline passengers -- has sent only 37 of the more than 5,000 passenger complaints this year to the Justice Department, high… [+2554 chars]",cnn,CNN
3,"Amy Simonson and Paul P. Murphy, CNN",Searchers recover body from British Columbia mudslide,"The body of a woman has been recovered from a mudslide that occurred Monday morning near Lillooet, British Columbia, according to a statement released Tuesday by the Royal Canadian Mounted Police.",https://www.cnn.com/2021/11/16/weather/canada-mudslides-wxn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211116173249-lillooet-mudslide-super-tease.jpg,2021-11-17T01:11:58Z,"(CNN)The body of a woman has been recovered from a mudslide that occurred Monday morning near Lillooet, British Columbia, according to a statement released Tuesday by the Royal Canadian Mounted Polic… [+3109 chars]",cnn,CNN
4,"Jennifer Hansler, CNN",State Department establishes task force on Ethiopia as conflict rages,"The State Department has established a new task force to oversee its ""planning, management and logistics related to events in Ethiopia,"" a spokesperson confirmed Friday.",https://www.cnn.com/2021/11/05/politics/state-department-ethiopia-task-force/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211102120115-02-tigray-ethiopia-conflict-super-tease.jpg,2021-11-05T22:15:27Z,"(CNN)The State Department has established a new task force to oversee its ""planning, management and logistics related to events in Ethiopia,"" a spokesperson confirmed Friday.
The creation of the Eth… [+2647 chars]",cnn,CNN
5,"Theresa Waldrop, CNN",Olympic gold medalist Suni Lee says she was pepper-sprayed in a racist attack,"American gymnast Suni Lee, an Olympic gold medal winner and the first Hmong American to compete in the Olympics, said she was pepper-sprayed in a racist incident while in Los Angeles for her stint on ""Dancing with the Stars.""",https://www.cnn.com/2021/11/11/us/suni-lee-racist-attack/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210729100544-26-sunisa-lee-olympics-2020-unf-super-tease.jpg,2021-11-11T23:47:36Z,"(CNN)American gymnast Suni Lee, an Olympic gold medal winner and the first Hmong American to compete in the Olympics, said she was pepper-sprayed in a racist incident while in Los Angeles for her sti… [+1177 chars]",cnn,CNN
6,Story by Reuters,Philippines rights body's drug war probe bolsters police abuse allegations,"An investigation by the Philippines' rights commission into the killings in President Rodrigo Duterte's war on drugs has found that dozens of people were shot in the head, chest and abdomen, suggesting an intent to kill, it said on Tuesday.",https://www.cnn.com/2021/11/03/asia/philippines-drug-war-report-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211102230135-01-ph-extrajudicial-killing-victim-0917-super-tease.jpg,2021-11-03T04:01:00Z,"An investigation by the Philippines' rights commission into the killings in President Rodrigo Duterte's war on drugs has found that dozens of people were shot in the head, chest and abdomen, suggesti… [+1510 chars]",cnn,CNN
7,"By Pete Muntean and Gregory Wallace, CNN","Violent airline passengers fined more than $200,000 by FAA","Federal authorities have slapped 10 violent airline passengers with nearly a quarter-million dollars in new fines for shouting, spitting, screaming, shoving and throwing punches onboard commercial flights.",https://www.cnn.com/travel/article/faa-unruly-passenger-fines/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211103190707-faa-unruly-passengers-doj-super-tease.jpg,2021-11-11T20:59:03Z,"(CNN) Federal authorities have slapped 10 violent airline passengers with nearly a quarter-million dollars in new fines for shouting, spitting, screaming, shoving and throwing punches onboard commerc… [+1884 chars]",cnn,CNN
8,Gregory Lemos,4 injured in an overnight shooting in downtown Orlando during an unusually violent weekend,"Police in Orlando, Florida said a shooting in the early morning hours Monday that injured four people, one of whom is 16, was just one of a number of shootings during ""a very unusual weekend.""",https://www.cnn.com/2021/11/01/us/orlando-shooting-injures-four/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211101122222-screengrab-presser-orlando-florida-shooting-11-01-2021-super-tease.jpg,2021-11-01T16:38:32Z,"(CNN)Police in Orlando, Florida said a shooting in the early morning hours Monday that injured four people, one of whom is 16, was just one of a number of shootings during ""a very unusual weekend.""
… [+2435 chars]",cnn,CNN
9,Story by Reuters,School fire kills at least 25 children in Niger,"At least 25 primary school children were killed when their thatched-roof classrooms caught fire in southern Niger on Monday, the council of ministers said in a statement.",https://www.cnn.com/2021/11/09/africa/niger-school-fire-deaths-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211109065240-niger-school-fire-map-super-tease.jpeg,2021-11-09T12:57:08Z,"Niamey, NigerAt least 25 primary school children were killed when their thatched-roof classrooms caught fire in southern Niger on Monday, the council of ministers said in a statement.
Fourteen more … [+676 chars]",cnn,CNN
