,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Stephen Sorace,"NYC man repeatedly punches, drags woman out of subway elevator as transit crime surges - Fox News","<ol><li>NYC man repeatedly punches, drags woman out of subway elevator as transit crime surges  Fox News
</li><li>Woman attacked in subway elevator  FOX 5 New York
</li><li>Woman attacked inside East Harlem subway elevator, dragged out by feet in robbery of…",https://www.foxnews.com/us/nyc-man-subway-attack-video-transit-crime,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/ezgif.com-gif-maker-96.gif,2021-11-10T17:01:14Z,"Police in New York City are seeking a man caught on video punching and dragging a woman out of a Manhattan subway elevator earlier this month as crime on the citys mass transit system surges.
The ro… [+2238 chars]",fox-news,Fox News
1,Louis Casiano,New York state mayor declares state of emergency over record gun violence - Fox News,"<ol><li>New York state mayor declares state of emergency over record gun violence  Fox News
</li><li>'It has to stop': 3 homicides in Rochester Thursday as violence reaches record level — November 12,  News 8 WROC
</li><li>Rochester Dealing With 'Unpreceden…",https://www.foxnews.com/us/new-york-state-mayor-declares-state-of-emergency-record-gun-violence,https://static.foxnews.com/foxnews.com/content/uploads/2021/03/Lovely-Warren.jpeg,2021-11-12T22:22:56Z,"The mayor of an upstate New York city that saw violent protests last year has declared a state of emergency over an uptick in violent crime after a record number of homicides this year. 
Mayor Lovel… [+3942 chars]",fox-news,Fox News
2,David Aaro,"Chicago violence: At least 9 killed, 39 wounded over the weekend - Fox News","<ol><li>Chicago violence: At least 9 killed, 39 wounded over the weekend  Fox News
</li><li>1 killed, 3 wounded in overnight shootings in Bronzeville  WGN News
</li><li>Man shot and killed, woman injured at popular Bronzeville bar  Chicago Journal
</li><li…",https://www.foxnews.com/us/chicago-violence-9-killed-39-wounded-weekend,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/GettyImages-1231725316.jpg,2021-11-08T14:45:21Z,"Ten people were killed and 50 others were wounded in shootings across Chicago this weekend, according to authorities. 
There were 41 shootings reported throughout Chicago from 6 p.m. Friday to 11:59… [+2122 chars]",fox-news,Fox News
3,Angelica Stabile,Dave Portnoy blasts Business Insider for 'sensational' hit piece on sex life: ‘It’s character assassination’ - Fox News,Barstool Sports founder Dave Portnoy reacts to Business Insider's reporting regarding his unseen sex life on 'Tucker Carlson Tonight',https://www.foxnews.com/media/dave-portnoy-business-insider-hit-piece-character-assassination,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/Portnoy-Tucker.jpg,2021-11-09T05:22:44Z,"Business Insider dispatched a report Thursday with intentions of publicizing Barstool Sports founder Dave Portnoys unseen sex life which he explained on ""Tucker Carlson Tonight"" did not reveal anythi… [+2006 chars]",fox-news,Fox News
4,Charles Creitz,AG Garland must come back to Congress after whistleblower claims he lied about FBI targeting parents: Hawley - Fox News,"<ol><li>AG Garland must come back to Congress after whistleblower claims he lied about FBI targeting parents: Hawley  Fox News
</li><li>F.B.I. Set Plan to Track Threats Against School Boards and Teachers  The New York Times
</li><li>FBI Whistleblower Claims…",https://www.foxnews.com/media/whistleblower-garland-doj-fbi-targeting-parents-school-board-meetings-biden,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/osh-Hawley-Merrick-Garland.jpg,2021-11-17T02:05:27Z,A whistleblower in the Biden administration came forward Tuesday to claim that Attorney General Merrick Garland lied to Congress when he testified in October that the FBI isn't targeting parents prot… [+2516 chars],fox-news,Fox News
5,Emma Colton,Back to back flash mob lootings in San Francisco area alarming experts,California security experts are alarmed by the increase in flash mobs targeting high-end retail stores after back-to-back incidents,https://www.foxnews.com/us/repeated-organized-flash-mob-robberies-san-francisco-security-experts,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/walnut-creek-nordstrom.png,2021-11-22T13:13:53Z,"The San Francisco area saw back-to-back flash mobs ransack a Nordstrom and a Louis Vuitton over a 24-hour period, alarming security experts in a city that has already been struggling with rampant sma… [+4711 chars]",fox-news,Fox News
6,Kyle Morris,Flying with firearms: a guide to a smooth traveling process,"Flying with a firearm is not a difficult process, however, Americans must abide by regional laws to avoid incidents like the one that occurred at an Atlanta airport on Saturday evening.",https://www.foxnews.com/us/flying-with-firearms-guide-smooth-traveling-process,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/guninternal.jpg,2021-11-20T22:26:03Z,"Flying with a firearm is not a difficult process, but Americans must abide by federal, state, local, and international laws to avoid incidents like the one that occurred at an Atlanta airport on Satu… [+2134 chars]",fox-news,Fox News
7,Stephen Sorace,Texas Border Protection officers seize over $50M in meth being smuggled into US,"Border Protection officers in Brownsville, Texas, within a week seized over $50 million in methamphetamine being smuggled over the southern border in two separate incidents, leading to the arrests of an American citizen and a Mexican national, authorities sai…",https://www.foxnews.com/us/texas-border-protection-officers-meth-seizure,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/texas-cbp-meth-busts-split.jpg,2021-11-02T13:22:52Z,"Border Protection officers in Texas busted an American citizen attempting to haul $1.5 million in methamphetamine into the U.S. last week, just days after intercepting a Mexican national smuggling 1.… [+1944 chars]",fox-news,Fox News
8,Peter Aitken,FBI declares 'Havana Syndrome' a 'top priority': report,"The FBI on Wednesday called Havana Syndrome a ""top priority"" as around 200 U.S. diplomats, officials and family members overseas have suffered from the series of ""anomalous health incidents.""",https://www.foxnews.com/us/fbi-havana-syndrome-top-priority,https://static.foxnews.com/foxnews.com/content/uploads/2021/06/AP21161554727638.jpg,2021-11-26T17:23:04Z,"The FBI on Wednesday called HavanaSyndrome a ""top priority"" as around 200 U.S. diplomats, officials and family members overseas have suffered from the series of ""anomalous health incidents."" 
U.S. o… [+2940 chars]",fox-news,Fox News
9,Dom Calicchio,"Los Angeles-area looters target Home Depot, Bottega Veneta stores on Black Friday: reports","Officials in California sent word earlier this week that they planned to crack down on ""smash and grab"" robberies and flash-mob-style looting after numerous recent incidents up and down the state. But apparently not everybody got the message.",https://www.foxnews.com/us/los-angeles-looters-home-depot-bottega-veneta-black-friday-smash-grab-flash-mob-robberies,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/Hammers.png,2021-11-27T09:44:30Z,"Officials in California sent word earlier this week that they planned to crack down on ""smash and grab"" robberies and flash-mob-style looting after numerous recent incidents up and down the state.
B… [+4393 chars]",fox-news,Fox News
