,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Matthew Impelli,"Photos Show Over a Ton of Meth, Cocaine Seized in Texas Worth $53M","The drugs were discovered in 2 separate incidents on the same night at the World Trade Bridge in Laredo, Texas.",https://www.newsweek.com/photos-show-over-ton-meth-cocaine-seized-texas-worth-53m-1649735,https://d.newsweek.com/en/full/1933270/customs-border-protection.jpg,2021-11-16T15:48:12Z,"New photos show over a ton of methamphetamine and cocaine, worth approximately $53 million, that was recently seized by border agents in Texas.
Customs and Border Protection (CBP) posted the photos … [+3067 chars]",newsweek,Newsweek
1,Ayumi Davis,"FAA Issues Over $161K in Fines to 8 Airline Passengers, Largest One Over $40K","Most of the 5,000-plus incidents of rowdy passengers reported to the FAA were mask-related, with nearly 300 involving intoxicated passengers.",https://www.newsweek.com/faa-issues-over-161k-fines-8-airline-passengers-largest-one-over-40k-1652129,https://d.newsweek.com/en/full/1938127/federal-aviation-administration-passengers-fines.jpg,2021-11-22T23:36:40Z,"The Federal Aviation Administration issued over $161,000 in fines to eight airlines passengers regarding incidents with alcohol, with the largest one being over $40,000, according to the Associated P… [+3124 chars]",newsweek,Newsweek
2,Justin Klawans,Texas Man Arrested After Synagogue Fire as Several Antisemitic Incidents Plague Austin,"Officials described the incident as a ""small, exterior fire"" that did not cause any injuries.",https://www.newsweek.com/texas-man-arrested-after-synagogue-fire-several-antisemitic-incidents-plague-austin-1648215,https://d.newsweek.com/en/full/1930590/star-david.jpg,2021-11-11T04:37:04Z,"A Texas man was arrested, accused of setting fire to an Austin synagogue on Halloween, arson investigators with the Austin Fire Department (AFD) said Wednesday.
Franklin Barrett Sechriest, 18, has b… [+3477 chars]",newsweek,Newsweek
3,Natalie Colarossi,Uptick in Major Hacking Incidents Sparks 'Priority' Hiring of More Cyber Security Experts,"""[W]e cannot rely only on traditional hiring tools to fill mission-critical vacancies,"" DHS Secretary Mayorkas said in a statement on Monday.",https://www.newsweek.com/uptick-major-hacking-incidents-sparks-priority-hiring-more-cyber-security-experts-1649285,https://d.newsweek.com/en/full/1932384/dhs-cyber-security-program.jpg,2021-11-15T16:25:06Z,The Department of Homeland Security (DHS) launched a new program Monday to prioritize hiring cyber security experts as the U.S. works to address a recent uptick in major hacking incidents that have t… [+3426 chars],newsweek,Newsweek
4,Katie Wermus,"Maryland Announces Initiatives to Combat Anti-Asian Crimes, Which Have Risen Since 2019","Governor Larry Hogan announced new training for police officers, increased funding to fight hate crimes and developed new resources for the community.",https://www.newsweek.com/maryland-announces-initiatives-combat-anti-asian-crimes-which-have-risen-since-2019-1649484,https://d.newsweek.com/en/full/1932729/larry-hogan-governor-anti-asian-hate-crimes.jpg,2021-11-15T22:07:50Z,"Maryland Governor Larry Hogan on Monday announced his plan to address anti-Asian hate and bias crimes that have continued to increase since 2019, the Associated Press reported.
The initiatives inclu… [+3578 chars]",newsweek,Newsweek
5,Xander Landen,Man Arrested After Allegedly Threatening People at COVID Vaccine Clinic for Children,A parent and their child told police he waved a stick at them as they were attempting to enter the clinic. The man was arrested for aggravated assault.,https://www.newsweek.com/man-arrested-after-allegedly-threatening-people-covid-vaccine-clinic-children-1649117,https://d.newsweek.com/en/full/1932127/man-accused-threatening-people-outside-clinic.jpg,2021-11-14T23:35:12Z,"A Kansas man was arrested on Saturday after a parent and their child said they were trying to enter a vaccine clinic when he waved a stick at them.
The suspect was placed under arrest for aggravated… [+2654 chars]",newsweek,Newsweek
6,Katherine Fung,Video Shows Man Stealing Piles of Clothes From San Francisco Store Amid Shoplifting Surge,"Three of the nation's top 10 cities for organized retail theft are located in California, with San Fransisco ranking fifth on the list.",https://www.newsweek.com/video-shows-man-stealing-piles-clothes-san-francisco-store-amid-shoplifting-surge-1648859,https://d.newsweek.com/en/full/1931791/california-store-shoplifting-video-crime-surge.jpg,2021-11-12T21:46:41Z,"Surveillance camera video recently showed a man stealing a pile of clothes from a San Fransisco store as the city faces a recent shoplifting surge.
In the video, recorded on a Google Nest camera and… [+2873 chars]",newsweek,Newsweek
7,Andrew Stanton,"Woman Punches Flight Attendants, Pulls Their Hair Until Fellow Passenger Zip-Ties Her Feet","She allegedly told police ""shoot me motherf******"" and ""I didn't do anything wrong"" after they arrested her.",https://www.newsweek.com/woman-punches-flight-attendants-pulls-their-hair-until-fellow-passenger-zip-ties-her-feet-1653795,https://d.newsweek.com/en/full/1941186/woman-assaulted-flight-attendant-spirit-nashville.jpg,2021-11-28T20:20:39Z,"Police arrested a 42-year-old woman after she allegedly assaulted two flight attendants while intoxicated on a Spirit Airlines flight Saturday.
A Federal Aviation Administration spokesperson told Ne… [+3212 chars]",newsweek,Newsweek
8,Ayumi Davis,"Respondents to Air Force Survey Say Mental, Physical Abuse is High, Also Often Unreported","Over half of respondents to an Air Force survey said they have experienced physical or mental abuse in the past two years, with many leaving it unreported.",https://www.newsweek.com/respondents-air-force-survey-say-mental-physical-abuse-high-also-often-unreported-1647745,https://d.newsweek.com/en/full/1929605/air-force-survey-mental-abuse-physical-abuse.jpg,2021-11-10T00:15:08Z,"In a report released Tuesday, over half of Air Force and Space Force personnel that responded to a survey said they have experienced some type of mental or physical abuse in the past two years. This … [+5239 chars]",newsweek,Newsweek
9,Katherine Fung,"Rittenhouse Jury Enters 24 Hours of Deliberation, Likely to Worry Defense, Experts Say","""I think it's a fair bet to say we're either going to have a verdict this morning or they're going to claim they're hung,"" attorney John Birdsall said.",https://www.newsweek.com/rittenhouse-jury-enters-24-hours-deliberation-likely-worry-defense-experts-say-1651226,https://d.newsweek.com/en/full/1936316/kyle-rittenhouse-jury-verdict-defense-expert.jpg,2021-11-19T15:57:18Z,"After already spending roughly 23 hours deliberating in the Kyle Rittenhouse trial, jurors will return to the courthouse on Friday to try to reach a verdict. While several days of deliberations are n… [+5115 chars]",newsweek,Newsweek
