,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,U.S. FBI calls 'anomalous health incidents' a top priority - Reuters,"The U.S. Federal Bureau of Investigation said on Wednesday the issue of ""anomalous health incidents"" - widely known as Havana Syndrome - is a top priority and it will continue to investigate the cause of such incidents and how to protect staff.",https://www.reuters.com/world/us/us-fbi-calls-anomalous-health-incidents-top-priority-2021-11-24/,https://www.reuters.com/resizer/sWsXemHR9w6KVWC1GOm1M2svmxc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RANBYSK6HJLLLG5HTFBSSV2NFI.jpg,2021-11-24T18:13:00Z,"WASHINGTON, Nov 24 (Reuters) - The U.S. Federal Bureau of Investigation said on Wednesday the issue of ""anomalous health incidents"" - widely known as Havana Syndrome - is a top priority and it will c… [+2101 chars]",reuters,Reuters
1,,Polish police reports two incidents on Belarus border - Reuters,"Polish authorities stopped two groups of migrants from crossing the border from Belarus late on Thursday, private broadcaster TVN24 quoted local police as saying, marking a relatively quieter day in a week of tense confrontations.",https://www.reuters.com/world/europe/polish-police-reports-two-incidents-belarus-border-2021-11-12/,https://www.reuters.com/resizer/AsDut-kQOYIGSwWOKOKqaCV93QE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2DES27PAABPCVJS4PJ727SQNMY.jpg,2021-11-12T08:56:00Z,"Polish police guard Poland/Belarus border near Kuznica, Poland, in this photograph released by the Police, November 12, 2021. Policja Podlaska/Handout via REUTERS WARSAW, Nov 12 (Reuters) - Polish au… [+2018 chars]",reuters,Reuters
2,,Polish Border Guard reports more incidents at Belarus frontier - Reuters,"Migrants tried to force their way through the fence on the Poland-Belarus border in at least two locations on Tuesday night, the Polish Border Guard said, as tensions remained on the ground amid a diplomatic push by the Polish prime minister.",https://www.reuters.com/world/europe/polish-border-guard-reports-more-incidents-belarus-frontier-2021-11-24/,https://www.reuters.com/resizer/YCdZsuc-lks0znMjobGYGimz8cQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ME4U5TC5CBKVJHYHRJ6SIU6I6U.jpg,2021-11-24T10:24:00Z,"WARSAW, Nov 24 (Reuters) - Migrants tried to force their way through the fence on the Poland-Belarus border in at least two locations on Tuesday night, the Polish Border Guard said, as tensions remai… [+1935 chars]",reuters,Reuters
3,,Banks ordered to promptly flag cybersecurity incidents under new rule - Reuters,U.S. banking regulators finalized a rule on Thursday that directs banks to report any major cybersecurity incidents to the government within 36 hours of discovery.,https://www.reuters.com/business/finance/banks-ordered-promptly-flag-cybersecurity-incidents-under-new-rule-2021-11-18/,https://www.reuters.com/resizer/MoEh2hqhwPv88YFwVeiIMo-F-hk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NSJNM2XPCVKXJJDZ5QHUOE6XJI.jpg,2021-11-18T20:03:00Z,"A 3D-printed Cyber word standing on PC motherboard is seen in this illustration picture, October 26, 2017. REUTERS/Dado RuvicWASHINGTON, Nov 18 (Reuters) - U.S. banking regulators finalized a rule on… [+598 chars]",reuters,Reuters
4,,Blinken names two officials to lead U.S. response to Havana Syndrome cases - Reuters,U.S. Secretary of State Antony Blinken on Friday named two new officials to coordinate Washington's response to so-called Havana Syndrome health incidents that have affected U.S. diplomats and officials overseas.,https://www.reuters.com/world/us/blinken-names-two-officials-lead-us-response-havana-syndrome-cases-2021-11-05/,https://www.reuters.com/resizer/VHMc-B-5Py2JItALZ_staxUUdp8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Y2P3CAO27FPJNOF24CYNCZI2BU.jpg,2021-11-05T14:42:00Z,"U.S. Secretary of State Antony Blinken delivers remarks on modernizing American diplomacy during a speech from the Department of States Foreign Service Institute in Arlington, Virginia, U.S., October… [+749 chars]",reuters,Reuters
5,Reuters Editorial,Rittenhouse 'provoked everything' -prosecutor - Reuters,"The prosecution and the defense at the murder trial of Kyle Rittenhouse on Monday painted vastly different pictures of what caused the teenager to shoot three men during protests in Wisconsin last year, with prosecutors using grainy video to argue that Ritten…",https://www.reuters.com/video/watch/idPk8t?now=true,https://ajo.prod.reuters.tv/api/v2/img/6193075ae4b09631b0e436b3-1637025626380?location=LANDSCAPE,2021-11-16T02:03:26Z,"Posted 
The prosecution and the defense at the murder trial of Kyle Rittenhouse on Monday painted vastly different pictures of what caused the teenager to shoot three men during protests in Wisconsi… [+135 chars]",reuters,Reuters
6,,U.S. Justice Department to step up prosecution of unruly air passengers - Reuters,"U.S. Attorney General Merrick Garland directed federal prosecutors on Wednesday <a href=""https://www.justice.gov/file/1451491/download?utm_medium=email&utm_source=govdelivery"" target=""_blank"">to prioritize prosecution</a> of airline passengers committing assa…",https://www.reuters.com/world/us/us-justice-department-step-up-prosecution-unruly-air-passengers-2021-11-24/,https://www.reuters.com/resizer/3qgZG8P8Hc96IkhZTXS_7edKtkk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EEN35KQ2UVPYPD5GQUIS4LGDM4.jpg,2021-11-24T21:38:00Z,"WASHINGTON, Nov 24 (Reuters) - U.S. Attorney General Merrick Garland directed federal prosecutors on Wednesday to prioritize prosecution of airline passengers committing assaults and other crimes abo… [+2185 chars]",reuters,Reuters
7,,Philippines rights body's drug war probe bolsters police abuse allegations - Reuters,"An investigation by the Philippines' rights commission into the killings in President Rodrigo Duterte's war on drugs has found that dozens of people were shot in the head, chest and abdomen, suggesting an intent to kill, it said on Tuesday.",https://www.reuters.com/world/asia-pacific/philippines-rights-bodys-drug-war-probe-bolsters-police-abuse-allegations-2021-11-02/,https://www.reuters.com/resizer/mtabkb-KtSEEMG56PQp2Id0s9YQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZKGI57O7TFKSTN3D3PSM4PT5NU.jpg,2021-11-02T12:27:00Z,"Activists take part in a rally protesting at an escalation of President Rodrigo Duterte's war on drugs, in Quezon City, Metro Manila, Philippines, August 18, 2017. REUTERS/Dondi Tawatao/File Photo/Fi… [+1849 chars]",reuters,Reuters
8,,U.S. charges passenger with assaulting American Airlines flight attendant - Reuters,"U.S. prosecutors in Colorado on Monday charged a 20-year-old  California man with assaulting a flight attendant on an Oct. 27 American Airlines <a href=""https://www.reuters.com/companies/AAL.O"" target=""_blank"">(AAL.O)</a> flight that forced its diversion.",https://www.reuters.com/world/us/us-charges-passenger-with-assaulting-american-airlines-flight-attendant-2021-11-01/,https://www.reuters.com/resizer/0uGpD-L-AHK8-LWV_W8BbqHqnhU=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3KCW7VFJARPIPPTFUPNQO2GYDA.jpg,2021-11-01T17:23:00Z,Nov 1 (Reuters) - U.S. prosecutors in Colorado on Monday charged a 20-year-old California man with assaulting a flight attendant on an Oct. 27 American Airlines (AAL.O) flight that forced its diversi… [+586 chars],reuters,Reuters
9,,Iran still denying inspectors 'essential' access to workshop -IAEA report - Reuters,"The U.N. nuclear watchdog has still not had access to re-install surveillance cameras at the TESA Karaj centrifuge-parts workshop in Iran, though that is essential to reviving the Iran nuclear deal, the agency said in a report on Wednesday.",https://www.reuters.com/world/middle-east/iran-still-denying-inspectors-essential-access-workshop-iaea-report-2021-11-17/,https://www.reuters.com/resizer/s2yH08zqn-4yPLp955of1GFp_1o=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HB67MFBG3VPHBGKHQNLALRSCPU.jpg,2021-11-17T12:28:00Z,"The flag of the International Atomic Energy Agency (IAEA) waves in front its headquarters, amid the coronavirus disease (COVID-19) pandemic, in Vienna, Austria May 23, 2021. REUTERS/Leonhard FoegerVI… [+695 chars]",reuters,Reuters
10,,"Bail hearing pushed back for Canadian designer Peter Nygard, who faces sex charges - Reuters","A bail hearing for Canadian fashion designer Peter Nygard was pushed back another two weeks on Friday, to Dec. 10.",https://www.reuters.com/legal/government/bail-hearing-pushed-back-canadian-designer-peter-nygard-who-faces-sex-charges-2021-11-26/,https://www.reuters.com/resizer/CndnQpoJsFj5Onhabb3nlX4V08k=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/PT3BUPDJLVN23L3AWTSUFQKFGY.jpg,2021-11-26T16:26:00Z,"TORONTO, Nov 26 (Reuters) - A bail hearing for Canadian fashion designer Peter Nygard was pushed back another two weeks on Friday, to Dec. 10.
Nygard, who faces charges in both Canada and the United… [+616 chars]",reuters,Reuters
11,,Tunisia navy rescues 487 migrants from overloaded boat - Reuters,The Tunisian navy rescued 487 migrants on Friday from an overloaded boat that ran into difficulty in rough seas in the Mediterranean as they tried to reach Europe.,https://www.reuters.com/world/tunisia-navy-rescues-487-migrants-overloaded-boat-2021-11-26/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=60,2021-11-26T11:08:00Z,"TUNIS, Nov 26 (Reuters) - The Tunisian navy rescued 487 migrants on Friday from an overloaded boat that ran into difficulty in rough seas in the Mediterranean as they tried to reach Europe.
The vess… [+721 chars]",reuters,Reuters
12,,"Crowd problems put future of French football at risk, says minister - Reuters","Repeated crowd problems in Ligue 1 are putting the future of French football at risk, French sports minister Roxana Maracineanu said after Sunday's game between Olympique Lyonnais and Olympique Marseille was abandoned due to fan violence.",https://www.reuters.com/lifestyle/sports/crowd-problems-put-future-french-football-risk-says-minister-2021-11-22/,https://www.reuters.com/resizer/S6va3FZRq8EKtoMdSSl63zs7VFQ=/1175x615/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UR4B2IIFXVJPVEHQM6X7VBMRTA.jpg,2021-11-22T09:32:00Z,"PARIS, Nov 22 (Reuters) - Repeated crowd problems in Ligue 1 are putting the future of French football at risk, French sports minister Roxana Maracineanu said after Sunday's game between Olympique Ly… [+2408 chars]",reuters,Reuters
13,,Bodies found hanging from bridge in Mexico; gang violence blamed - Reuters,"The bodies of 10 people were found in the central Mexican state of Zacatecas on Thursday, nine of them hanging from a bridge, in apparent gang-related killings, according to local officials.",https://www.reuters.com/world/americas/bodies-found-hanging-bridge-mexico-gang-violence-blamed-2021-11-18/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=59,2021-11-18T18:47:00Z,"MEXICO CITY, Nov 18 (Reuters) - The bodies of 10 people were found in the central Mexican state of Zacatecas on Thursday, nine of them hanging from a bridge, in apparent gang-related killings, accord… [+1258 chars]",reuters,Reuters
14,,School fire kills at least 25 children in Niger - Reuters,"At least 25 primary school children were killed when their thatched-roof classrooms caught fire in southern Niger on Monday, the council of ministers said in a statement.",https://www.reuters.com/world/africa/school-fire-kills-least-25-children-niger-2021-11-08/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=56,2021-11-08T20:58:00Z,"NIAMEY, Nov 8 (Reuters) - At least 25 primary school children were killed when their thatched-roof classrooms caught fire in southern Niger on Monday, the council of ministers said in a statement.
F… [+835 chars]",reuters,Reuters
15,,Factbox: Who was Ahmaud Arbery? - Reuters,"Ahmaud Arbery was a 25-year-old Black man running through a mostly white neighborhood who was out for a Sunday run on Feb. 23, 2020, when he was chased by three white men in two trucks, and shot and killed about two miles (3.2 km) from his mother's house near…",https://www.reuters.com/legal/government/who-was-ahmaud-arbery-2021-11-18/,https://www.reuters.com/resizer/FsjgeL6JLUcy1ijd2OVHw5Kv-xc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GDQIIKQ2GFP3BGFW3I4QQXHCJU.jpg,2021-11-18T15:03:00Z,"Nov 18 (Reuters) - Ahmaud Arbery was a 25-year-old Black man running through a mostly white neighborhood who was out for a Sunday run on Feb. 23, 2020, when he was chased by three white men in two tr… [+2505 chars]",reuters,Reuters
16,,Lyon v Marseille interrupted after Payet hit by bottle - Reuters,The Ligue 1 game between Olympique Lyonnais and Olympique de Marseille was interrupted on Sunday after Marseille's Dimitri Payet was hit by a bottle thrown from the stands at the Groupama Stadium.,https://www.reuters.com/markets/asia/lyon-v-marseille-interrupted-after-payet-hit-by-bottle-2021-11-21/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=59,2021-11-21T20:24:00Z,"LYON, France, Nov 21 (Reuters) - The Ligue 1 game between Olympique Lyonnais and Olympique de Marseille was interrupted on Sunday after Marseille's Dimitri Payet was hit by a bottle thrown from the s… [+1109 chars]",reuters,Reuters
17,,"Bail hearing pushed back for Canadian designer Peter Nygard, who faces sex charges - Reuters","A bail hearing for Canadian fashion designer Peter Nygard was pushed back another two weeks on Friday, to Dec. 10.",https://www.reuters.com/world/americas/bail-hearing-pushed-back-canadian-designer-peter-nygard-who-faces-sex-charges-2021-11-26/,https://www.reuters.com/resizer/CQxy_jGePtrjZ9GS3sOGfpWu4B8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3V2W7ALQ4JN6XFYMGQE5J4ZN5Q.jpg,2021-11-26T15:59:00Z,"Canadian fashion designer Peter Nygard makes a brief appearance via video feed in connection with multiple sexual assault charges in a courtroom in Toronto, Canada, in this courtroom sketch November … [+912 chars]",reuters,Reuters
18,,Factbox: Who was Ahmaud Arbery? - Reuters,"Ahmaud Arbery was a 25-year-old Black man running through a mostly white neighborhood who was out for a Sunday run on Feb. 23, 2020, when he was chased by three white men in two trucks, and shot and killed about two miles (3.2 km) from his mother's house near…",https://www.reuters.com/world/us/who-was-ahmaud-arbery-2021-11-24/,https://www.reuters.com/resizer/GwWJqpxc4puk3e8eyj_uEaBterM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/K335XQL4FRJVZF7ORPGCGCYJUY.jpg,2021-11-24T19:18:00Z,"Nov 24 (Reuters) - Ahmaud Arbery was a 25-year-old Black man running through a mostly white neighborhood who was out for a Sunday run on Feb. 23, 2020, when he was chased by three white men in two tr… [+2547 chars]",reuters,Reuters
19,,Putin fires Russian prison chief after torture scandal - Reuters,"President Vladimir Putin on Thursday fired the head of Russia's prison service, weeks after the emergence of leaked videos that appeared to show prisoners being tortured and sexually assaulted.",https://www.reuters.com/world/europe/putin-fires-russian-prison-chief-after-torture-scandal-2021-11-25/,https://www.reuters.com/resizer/nbDDTQ14AdphutL8Kr9qzJ-bn8I=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LL52AJQ2JNNVPCNXBV4WYPGQKA.jpg,2021-11-25T14:25:00Z,"MOSCOW, Nov 25 (Reuters) - President Vladimir Putin on Thursday fired the head of Russia's prison service, weeks after the emergence of leaked videos that appeared to show prisoners being tortured an… [+1477 chars]",reuters,Reuters
