,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Marik von Rennenkampff, Opinion Contributor",NASA chief latest official to suggest UFOs have otherworldly origins...,"Asked to speculate about the nature of recent UFO sightings , Bill Nelson responded, “Who am I to say that planet earth is the only location of a life form that is civilized and organized like ours?”",https://thehill.com/opinion/international/579303-nasa-chief-bill-nelson-latest-official-to-suggest-ufos-have,https://thehill.com/sites/default/files/billnelson04252021.jpg,2021-11-01T14:37:40Z,"In a freewheeling Oct. 19 discussion on space policy, NASA administrator Bill NelsonClarence (Bill) William NelsonDemocrats face growing hurdles in bid to oust DeSantisNASA adviser quits after reques… [+9022 chars]",the-hill,The Hill
1,Lexi Lonas,FBI investigating attempted hacking of Ohio election network: report | TheHill - The Hill,FBI investigating attempted hacking of Ohio election network: report | TheHill  The HillView Full Coverage on Google News,https://thehill.com/policy/national-security/fbi/582440-fbi-investigating-attempted-hacking-of-ohio-election-network,https://thehill.com/sites/default/files/fbi_040621gn8_lead.jpg,2021-11-19T22:56:13Z,"The FBI is investigating an attempted hacking of an Ohio election network that occurred in May, multiple sources told The Washington Post. 
Two people familiar with the matter reportedly said that s… [+1932 chars]",the-hill,The Hill
2,IV Hendrix,Flight attendant union president: Air rage incidents creating 'hostile environment',"The head of the country's main flight attendant's union said an increase in unruly passenger incidents is contributing to a ""hostile environment"" for the profession, ahead of a House subcommittee meeting on the issu...",https://thehill.com/homenews/house/581651-flight-attendant-union-president-air-rage-incidents-creating-hostile,https://thehill.com/sites/default/files/article_images/nelsonsara_050619_ap.jpeg,2021-11-15T23:25:52Z,"The head of the countrys main flight attendants union said an increase in unruly passenger incidents is contributing to a hostile environment for the profession, ahead of a House subcommittee meeting… [+2145 chars]",the-hill,The Hill
3,Monique Beals,Hate crimes up 20 percent in Los Angeles area,"Hate crimes in Los Angeles increased by 20 percent last year, hitting a 10-year high as racially and sexually motivated crimes jump in cities nationwide. A ...",https://thehill.com/homenews/state-watch/581106-hate-crimes-up-20-percent-in-los-angeles-area,https://thehill.com/sites/default/files/sanctuarycity_losangeles_010117getty.jpg,2021-11-11T15:13:35Z,"Hate crimes in Los Angeles increased by 20 percent last year, hitting a 10-year high as racially and sexually motivated crimes jump in cities nationwide. 
A report from the L.A. County Commission on… [+2108 chars]",the-hill,The Hill
4,Maggie Miller,Senators move to include 72 hour timeline for cyber incident reporting in defense bill,A bipartisan group of senators are moving to insert a provision into the upcoming annual National Defense Authorization Act (NDAA) that would give certain critical infrastructure groups 72 hours to report major cybe...,https://thehill.com/policy/cybersecurity/580330-senators-move-to-include-72-hour-timeline-for-cyber-incident-reporting,https://thehill.com/sites/default/files/ca_senate_080221istock.jpg,2021-11-05T21:14:28Z,A bipartisan group of senators are moving to insert a provision into the upcoming annual National Defense Authorization Act (NDAA) that would give certain critical infrastructure groups 72 hours to r… [+5225 chars],the-hill,The Hill
5,Jordan Williams,Defense asks for mistrial in Rittenhouse case,"Kyle Rittenhouse's defense attorneys on Wednesday asked Judge Bruce Schroeder to declare a mistrial in the case, alleging prosecutorial misconduct.Once the trial resumed after a lunch break, defense attorney Corey...",https://thehill.com/homenews/state-watch/580994-defense-asks-for-mistrial-in-rittenhouse-case,https://thehill.com/sites/default/files/article_images/rittenhousekyle_111021seankrajacicthekenoshanewsap.jpg,2021-11-10T20:07:34Z,"Kyle Rittenhouses defense attorneys on Wednesday asked Judge Bruce Schroeder to declare a mistrial in the case, alleging prosecutorial misconduct.
Once the trial resumed after a lunch break, defense… [+1350 chars]",the-hill,The Hill
6,Monique Beals,Student dies by suicide weeks after DOJ documents 'widespread race-based harassment' in school district,A mother whose 10-year-old autistic daughter died by suicide is blaming the Utah fifth-grader's death on the bullying she endured at school and the apathetic response of its leadership. Brittany ...,https://thehill.com/homenews/state-watch/580970-student-dies-by-suicide-weeks-after-doj-documents-widespread-race-based,https://thehill.com/sites/default/files/ca_bausmanschooltoprison_102121istock.jpg,2021-11-10T18:55:17Z,"A mother whose 10-year-old autistic daughter died by suicide is blaming the Utah fifth-graders death on the bullying she endured at school and the apathetic response of its leadership. 
Brittany Tic… [+1829 chars]",the-hill,The Hill
7,Jordan Williams,Pope praises journalists for giving voice to church sexual abuse victims,Pope Francis praised journalists on Saturday for giving a voice to victims who experienced abuse within the Catholic Church.The pontiff made the comments on Saturday while honoring Reuters reporter Phillip Puellell...,https://thehill.com/homenews/media/581418-pope-praises-journalists-for-giving-voice-to-church-sexual-abuse-victims,https://thehill.com/sites/default/files/ca_popefrancisgeorgefloyd_060320getty_1.jpg,2021-11-13T15:37:05Z,Pope FrancisPope FrancisPope Francis renews call for solidarity in Europe amid migrant crisisThe question roiling the Catholic Church: Who's a good Catholic?Pope condemns 'vile' assassination attempt… [+1719 chars],the-hill,The Hill
8,Olafimihan Oshin,"Vikings player refusing to leave home after calling 911, saying he fired a weapon","Minnesota Vikings defensive end Everson Griffen has refused to come out of his home after calling 911, saying he fired a weapon and posting a series of disturbing and now-deleted videos on Instagram, ...",https://thehill.com/homenews/state-watch/583062-vikings-player-refusing-to-leave-home-after-calling-911-saying-he-fired,https://thehill.com/sites/default/files/article_images/griffeneverson_112421_ap.jpeg,2021-11-24T21:26:20Z,"Minnesota Vikings defensive end Everson Griffen has refused to come out of his home after calling 911, saying he fired a weapon and posting a series of disturbing and now-deleted videos on Instagram,… [+1822 chars]",the-hill,The Hill
9,Brad Dress,20 looters hit LA Nordstrom store in smash-and-grab break-in,"Three suspects were arrested after looters stormed a Nordstrom store in Los Angeles on Monday night, stealing an unknown amount of merchandise.Twenty looters struck the Nordstrom store at The Grove shopping mall sh...",https://thehill.com/homenews/state-watch/582812-20-looters-hit-la-nordstrom-store-in-smash-and-grab-break-in,https://thehill.com/sites/default/files/blogs/nordstrom.jpg,2021-11-23T17:06:31Z,"Three suspects were arrested after looters stormed a Nordstrom store in Los Angeles on Monday night, stealing an unknown amount of merchandise.
Twenty looters struck the Nordstrom store at The Grove… [+1586 chars]",the-hill,The Hill
10,Monique Beals,Democrats call on Education secretary to address 'stealthing' at federal level,"Congressional leaders penned a letter on Monday to Secretary of Education Miguel Cardona urging him to take actions  to better identify and combat sexual violence on college campuses.Specifically, the lawmakers wan...",https://thehill.com/homenews/house/580609-democrats-call-on-education-secretary-to-address-stealthing-at-federal-level,https://thehill.com/sites/default/files/article_images/maloneycarolyn_102821_ap.jpeg,2021-11-08T21:55:06Z,"Congressional leaders penned a letter on Monday to Secretary of Education Miguel CardonaMiguel CardonaPavlich: Democrats' weaponization of the DOJ is backPresident, first lady honor teachers at White… [+2109 chars]",the-hill,The Hill
11,Monique Beals,LA police task force to target follow-home robbers,"Los Angeles Police Chief Michel Moore on Tuesday said that he would set up a ""Follow Home Task Force"" to address a recent trend of robberies. Moore said that he would create the task force of ove...",https://thehill.com/homenews/state-watch/582976-la-police-task-force-to-target-follow-home-robbers,https://thehill.com/sites/default/files/sanctuarycity_losangeles_010117getty.jpg,2021-11-24T16:02:31Z,"Los Angeles Police Chief Michel Moore on Tuesday said that he would set up a ""Follow Home Task Force"" to address a recent trend of robberies. 
Moore said that he would create the task force of over … [+1770 chars]",the-hill,The Hill
12,ooshin@thehill.com (Olafimihan Oshin),Democrats press DOJ to prosecute unruly air passengers,Democratic lawmakers are pressing the Department of Justice (DOJ) to prosecute unruly airline passengers following a spate of rowdy and sometimes violent incidents in recent months. “We write today to express our concern regarding the...,https://thehill.com/policy/transportation/aviation/579956-democrats-press-doj-to-prosecute-unruly-air-passengers,https://thehill.com/sites/default/files/departmentofjusticedepartmentdoj_011618getty.jpg,2021-11-03T22:58:41Z,"Democratic lawmakers are pressing the Department of Justice (DOJ) to prosecute unruly airline passengers following a spate of rowdy and sometimes violent incidents in recent months. 
We write today … [+3249 chars]",the-hill,The Hill
13,Dominick Mastrangelo,CNN's Acosta labels Tucker Carlson Jan. 6 series 'proud boy porn',"CNN's Jim Acosta blasted Fox News host Tucker Carlson and the Murdoch family for a new mini-series focusing on the Jan. 6 attack on the U.S. Capitol, a project which Acosta referred to as ""proud boy porn.""A trailer...",https://thehill.com/homenews/media/579390-cnns-acosta-labels-tucker-carlson-jan-6-series-proud-boy-porn,https://thehill.com/sites/default/files/article_images/acostajimcarlsontucker110121.jpg,2021-11-01T15:15:17Z,CNN's Jim AcostaJames (Jim) AcostaSchiff says holding Bannon in criminal contempt 'a way of getting people's attention'NIH director pleads with evangelicals to 'look at the evidence' on vaccinesDemoc… [+3242 chars],the-hill,The Hill
14,Jordan Williams,Warren calls for Senate probe of 2019 Syrian airstrike that killed dozens of civilians,"Sen. Elizabeth Warren (D-Mass.) called Friday for the Senate Armed Services Committee to investigate a 2019 airstrike in Baghuz, Syria that killed 70 people, including dozens of women and children.In a letter to pa...",https://thehill.com/policy/defense/582362-warren-calls-for-senate-probe-of-2019-syrian-airstrike-that-killed-dozens-of,https://thehill.com/sites/default/files/warrenelizabeth_092821gn_lead.jpg,2021-11-19T16:59:17Z,"Sen. Elizabeth WarrenElizabeth WarrenOn The Money House Democrats ready to Build Back BetterWarren calls for investigation into planned Trump SPAC dealAmazon, Facebook, other large firms would pay mo… [+2883 chars]",the-hill,The Hill
15,Mychael Schnell,Top Senate Democrat calls on attorney general to fire prisons chief,Senate Majority Whip Dick Durbin (D-Ill.) on Tuesday called on Attorney General Merrick Garland to replace Federal Bureau of Prisons (BOP) Director Michael Carvajal after an investigation by ...,https://thehill.com/homenews/senate/581763-durbin-calls-on-attorney-general-to-fire-prisons-chief,https://thehill.com/sites/default/files/durbindick_112818sr_lead.jpg,2021-11-16T17:51:12Z,Senate Majority Whip Dick DurbinDick DurbinCongress barrels toward end-of-year pileupSpending bill faces Senate scrambleImmigration holdouts stage last-ditch effort to get green cards in reconciliati… [+3384 chars],the-hill,The Hill
16,Brett Samuels and Morgan Chalfant,Biden's doctor says he's fit for office after annual physical,President Biden's physician on Friday determined he was healthy and fit to execute the duties of the presidency following his annual physical the day before his 79th birthday.Biden visited Walte...,https://thehill.com/homenews/administration/582436-bidens-doctor-says-hes-fit-for-office-after-annual-physical,https://thehill.com/sites/default/files/bidenjoe_111921_jn17.jpg,2021-11-19T22:31:38Z,President BidenJoe BidenHouse Democrats push vote on social spending plan to FridayFauci says all adults should 'go get boosted'Senate confirms Park Service director after years of acting headsMOREs … [+2716 chars],the-hill,The Hill
17,Monique Beals,Senators urging federal investigation into Liberty University's handling of sexual assault claims,Lawmakers are asking the Department of Education to look into Liberty University's handling of sexual assault claims. Sen. Tim Kaine (D-Va.) and Sen. Mark Warner (D-Va.) were among the lawmakers ...,https://thehill.com/homenews/senate/580984-senators-urging-federal-investigation-into-how-liberty-university-deals-with,https://thehill.com/sites/default/files/libertyuniversity_03312020getty.png,2021-11-10T19:43:05Z,"Lawmakers are asking the Department of Education to look into Liberty University's handling of sexual assault claims. 
Sen. Tim KaineTimothy (Tim) Michael KaineKaine: Democrats 'blew the timing' of … [+2993 chars]",the-hill,The Hill
18,Olafimihan Oshin,NY Assembly report corroborates Cuomo harassment claims,"The New York Assembly's Judiciary Committee has released a report on its investigation into misconduct claims against former Gov. Andrew Cuomo (D), detailing ""overwhelming evidence"" that he engaged in sexual harassm...",https://thehill.com/homenews/state-watch/582623-ny-assembly-report-corroborates-cuomo-harassment-claims,https://thehill.com/sites/default/files/ca_cuomo_andrew_111121_getty.jpg,2021-11-22T16:23:15Z,The New York Assembly's Judiciary Committee has released a report on its investigation into misconduct claims against former Gov. Andrew CuomoAndrew CuomoUnrequited rage: The demand for mob justice i… [+2819 chars],the-hill,The Hill
19,Caroline Vakil,Over two dozen arrested following Houston music festival,Officials said on Saturday that 25 people were arrested following a stampede of people at a Houston music festival that left eight people dead on Friday night.Houston Police Chief Troy Finner sai...,https://thehill.com/homenews/state-watch/580410-over-two-dozen-arrested-following-houston-music-festival,https://thehill.com/sites/default/files/article_images/astroworld_houstonstampede_110621ap.jpg,2021-11-06T21:37:34Z,"Officials said on Saturday that 25 people were arrested following a stampede of people at a Houston music festival that left eight people dead on Friday night.
Houston Police Chief Troy Finner said … [+2444 chars]",the-hill,The Hill
