,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,VANESSA GERA / AP,Polish Police Find Body of Young Syrian Near Belarus Border,"Polish police said Saturday that the body of a young Syrian man was found in the woods near the border with Belarus, the latest victim in a political standoff at the European Union's eastern border.",https://time.com/6117420/polish-police-syrian/,https://api.time.com/wp-content/uploads/2021/11/Poland.jpg?quality=85&w=1200&h=628&crop=1,2021-11-13T16:19:25Z,"WARSAW, Poland — Polish police said Saturday that the body of a young Syrian man was found in the woods near the border with Belarus, the latest victim in a political standoff at the European Union’s… [+4693 chars]",time,Time
1,Sanya Mansoor,Poll Watchers Flood Virginia as GOP Raises Doubts About ‘Election Integrity’,"The local election office in Lynchburg, Virginia, has been tense for weeks. That’s partly because the gubernatorial race between Democrat Terry McAuliffe and Republican Glenn Youngkin has evolved into a neck-and-neck contest that both national parties are wat…",https://time.com/6113227/republicans-poll-watchers-virginia/,https://api.time.com/wp-content/uploads/2021/11/virginia-local-elections.jpg?quality=85&w=1200&h=628&crop=1,2021-11-02T23:10:13Z,"The local election office in Lynchburg, Virginia, has been tense for weeks. That’s partly because the gubernatorial race between Democrat Terry McAuliffe and Republican Glenn Youngkin has evolved int… [+7452 chars]",time,Time
2,Melissa Chan and Madeleine Carlisle,Supreme Court Appears To Lean Toward Expanding Gun Rights in Pivotal Hearing,The newly conservative court is considering a case that would overturn a New York state law that limits the carrying of concealed weapons outside of the home,https://time.com/6113604/supreme-court-guns-hearing/,https://api.time.com/wp-content/uploads/2021/11/GettyImages-1351083987.jpg?quality=85&w=1200&h=628&crop=1,2021-11-03T19:59:41Z,"In what may be a troubling sign for the gun-safety movement nationwide, the majority of justices on the U.S. Supreme Court seemed inclined Wednesday to strike down a contested concealed-carry law, wh… [+6266 chars]",time,Time
3,Terry Tang/AP,Sesame Street Welcomes its First Asian American Muppet,Ji-Young is making history as the first Asian American muppet on Sesame Street. Here's what puppeteer Kathleen Kim says about the character.,https://time.com/6117794/sesame-street-ji-young/,https://api.time.com/wp-content/uploads/2021/11/sesame-street-ji-young.jpg?quality=85&crop=11px%2C43px%2C5456px%2C2853px&resize=1200%2C628&strip,2021-11-15T17:21:54Z,"What’s in a name? Well, for Ji-Young, the newest muppet resident of “Sesame Street,” her name is a sign she was meant to live there.
“So, in Korean traditionally the two syllables they each mean som… [+6593 chars]",time,Time
4,Melissa Chan and Madeleine Carlisle,Why the Gun Rights Case Before the Supreme Court Matters So Much,"The U.S. Supreme Court will take up the biggest gun rights case in more than a decade, which could give new strength to the Second Amendment",https://time.com/6111970/guns-supreme-court/,https://api.time.com/wp-content/uploads/2021/11/us-supreme-court.jpg?quality=85&crop=0px%2C159px%2C2400px%2C1257px&resize=1200%2C628&strip,2021-11-02T10:00:39Z,"Eight years after refusing to consider a similar appeal, the U.S. Supreme Court on Wednesday will hear the biggest gun rights case in more than a decade, with the newly conservative majority in posit… [+6464 chars]",time,Time
5,Abigail Abrams,Inside Mississippi’s Last Abortion Clinic—and the Biggest Fight for Abortion Rights in a Generation,The director of Mississippi's last abortion clinic is at the center of a Supreme Court case that could overturn Roe v. Wade.,https://time.com/6116072/mississippi-abortion-supreme-court-jackson-womens-health/,https://api.time.com/wp-content/uploads/2021/11/last-abortion-clinic-mississippi-social.jpg?quality=85,2021-11-11T12:00:11Z,"Shannon Brewer’s eyes dart to a grid of grainy images on a wide, black screen above her desk at the Jackson Women’s Health Organization (JWHO). Live footage shows a large truck creeping into the clin… [+13239 chars]",time,Time
6,Rebekah Taussig,The Disempowering Experience of Flying as a Disabled Person,"I am the youngest daughter of a man who paid his way through college working 50 hours a week, replacing sleep with sheer grit. He raised six kids and still woke before dawn for his morning prayer walk. He’s tough and intentional and has a strong sense of pers…",https://time.com/6111731/flying-disabled/,https://api.time.com/wp-content/uploads/2021/10/flying-disabled-challenges-1.jpg?quality=85,2021-11-01T11:00:15Z,"I am the youngest daughter of a man who paid his way through college working 50 hours a week, replacing sleep with sheer grit. He raised six kids and still woke before dawn for his morning prayer wal… [+10675 chars]",time,Time
7,Andrew R. Chow,Here’s Who Could Be Held Legally Liable for the Astroworld Tragedy,"Since Friday, more than 19 civil lawsuits have been filed in Houston court naming Travis Scott, Live Nation and even Drake.",https://time.com/6115460/astroworld-tragedy-legal-responsibility/,https://api.time.com/wp-content/uploads/2021/11/GettyImages-1236428930.jpg?quality=85&w=1200&h=628&crop=1,2021-11-11T17:58:39Z,Who will be held legally responsible for the deaths of eight concertgoers and injuries of many others at Travis Scott’s Astroworld Festival at Houston’s NRG Park on Nov. 5? If the mounting lawsuits f… [+11355 chars],time,Time
8,Cady Lang,The Outrageous True Story Behind House of Gucci,"Here's what's fact and fiction in 'House of Gucci,' Ridley Scott's new film inspired by the true story of the Gucci family.",https://time.com/6122130/house-of-gucci-true-story/,https://api.time.com/wp-content/uploads/2021/11/House-of-Gucci-true-story.jpg?quality=85&w=1200&h=628&crop=1,2021-11-24T17:10:13Z,"The explosive family drama at the center of Ridley Scott’s House of Gucci is so over-the-top that it’s reasonable to assume the film is the result of a very active imagination. In the film, out Nov. … [+12475 chars]",time,Time
9,Associated Press,U.S. Orders Some Employees to Leave Ethiopia as War Escalates,"NAIROBI, Kenya — The United States is ordering non-emergency government employees and their families to leave Ethiopia and urging other U.S. citizens that they should “depart now” as the country’s war escalates and fighters approach the capital of Addis Ababa…",https://time.com/6114713/ethiopia-employees/,https://api.time.com/wp-content/uploads/2021/11/Tigray.jpg?quality=85&w=1024&h=628&crop=1,2021-11-06T16:06:30Z,"NAIROBI, Kenya — The United States is ordering non-emergency government employees and their families to leave Ethiopia and urging other U.S. citizens that they should “depart now” as the country’s wa… [+953 chars]",time,Time
10,Time,Iraqi Prime Minister Survives Drone Assassination Attempt,"Troops and patrols deployed throughout Baghdad on Sunday following the failed assassination attempt with drones that targeted Iraq’s prime minister in his residence. The attack significantly raised tensions, sparked by the refusal of Iran-backed militias to a…",https://time.com/6114745/iraqi-prime-minister-survives-drone-assassination-attempt/,https://api.time.com/wp-content/uploads/2021/11/PM.jpg?quality=85&w=1200&h=628&crop=1,2021-11-07T16:22:25Z,BAGHDAD — Troops and patrols deployed throughout Baghdad on Sunday following the failed assassination attempt with drones that targeted Iraq’s prime minister in his residence. The attack significantl… [+7355 chars],time,Time
11,Jeff Vergales and Dr. Monica Gandhi,There’s Nothing Left to Debate on COVID-19 Vaccines for Kids,"With emergency use authorization for the Pfizer-BioNTech COVID vaccine newly approved for children 5-11, many parents are asking the question—should we vaccinate our kids? To be fair, many parents may have already made up their mind on this topic with the maj…",https://time.com/6113220/why-kids-should-get-covid-19-vaccine/,https://api.time.com/wp-content/themes/time2014/img/time-logo-og.png,2021-11-03T16:37:28Z,"With emergency use authorization for the Pfizer-BioNTech COVID vaccine newly approved for children 5-11, many parents are asking the question—should we vaccinate our kids? To be fair, many parents ma… [+7576 chars]",time,Time
12,James Grebey,How the Eternals Fit Into the Marvel Cinematic Universe,"The Marvel Cinematic Universe continues to expand, as this month sees the release of Eternals, the 26th entry in the massive franchise, directed by Oscar-winning director Chloé Zhao. As with the previous MCU movie, September’s Shang-Chi and the Legend of the …",https://time.com/6112800/the-eternals-marvel-explained/,https://api.time.com/wp-content/uploads/2021/11/MES7050_comp_v151.1034_R2_COMP.jpg?quality=85&w=1200&h=628&crop=1,2021-11-02T20:49:56Z,"The Marvel Cinematic Universe continues to expand, as this month sees the release of Eternals, the 26th entry in the massive franchise, directed by Oscar-winning directorChloé Zhao. As with the previ… [+9017 chars]",time,Time
