,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"USA TODAY, Johnathan Hettinger",Maker of Seresto defends flea and tick collar amid calls for a ban over safety concerns,"Elanco said its collar is safe despite reports of more than 86,000 adverse incidents, including 2,340 pet deaths since it hit the market in 2012.",https://www.usatoday.com/restricted/?return=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fnews%2Finvestigations%2F2021%2F11%2F08%2Fseresto-flea-and-tick-collar-should-not-banned-company-tells-epa%2F6201046001%2F,,2021-11-08T10:05:05Z,"Skip to main content
This content is only available to USA TODAY subscribers.
Subscribe for as low as $4.99 per month.
Your subscription includes access to:
Exclusive, subscriber-only content and… [+808 chars]",usa-today,USA Today
1,"USA TODAY, Dennis Wagner, USA TODAY",The Waukesha effect: A surge in weaponized vehicles plowing into crowds wreaks havoc on national safety,The Christmas parade tragedy in Waukesha and a national surge in vehicle attacks against political protesters heaps more angst on security planners,https://www.usatoday.com/story/news/2021/11/23/waukesha-impact-security-planners-struggle-stop-weaponized-cars/8728750002/,"https://www.gannett-cdn.com/presto/2021/11/22/USAT/a86f6880-4418-4dab-acc1-0d312ef6c64d-USP_News-_SUV_Slams_into_Wisconsin_Christmas_Parad.jpg?auto=webp&crop=4429,2491,x0,y216&format=pjpg&width=1200",2021-11-23T10:04:34Z,"Before a red SUV smashed into parade marchers Sunday in Waukesha, Wisconsin, the driver first plowed through barriers and raced past a police officer at a security post.
As horrible as the incident … [+5768 chars]",usa-today,USA Today
2,"USA TODAY, Abbie VanSickle and Weihua Li",Police hurt thousands of teens every year. An alarming number are Black girls.,"Police have pepper sprayed young people, shocked them with Tasers or body-slammed them, often after confronting them over the most minor of offenses.",https://www.usatoday.com/in-depth/news/investigations/2021/11/02/police-hurt-many-teens-each-year-alarming-number-black-girls/8557960002/,"https://www.gannett-cdn.com/presto/2021/11/01/USAT/15a64540-a41a-457a-9310-3eabd0cce65a-319A3895.jpg?crop=1919,1080,x0,y97?width=1200",2021-11-02T09:01:24Z,"HAGERSTOWN, Md. On a warm September Sunday in 2016, a small Black teenager in a pink T-shirt biked through narrow city streets and rolled into an intersection. So did a Chevy Cruze, driven by an 85-y… [+15239 chars]",usa-today,USA Today
3,"USA TODAY, Asha C. Gilbert, USA TODAY",'Act of of anti-Semitism': Police investigate desecration of Torah scroll at fraternity house,Police are investigating the desecration of a Torah scroll at a George Washington University fraternity house.,https://www.usatoday.com/story/news/education/2021/11/01/torah-scroll-desecrated-george-washington-university/6233615001/,"https://www.gannett-cdn.com/presto/2018/08/09/USAT/ec93f5c6-1bdf-4c49-a200-d376b41ea9b4-IMG_0069.jpg?auto=webp&crop=1999,1118,x0,y0&format=pjpg&width=1200",2021-11-01T17:20:34Z,"The president of George Washington University is speaking out after a fraternity house was vandalized and a Torah scroll was desecrated.
The Tau Kappa Epsilon house was broken into over the weekend … [+1376 chars]",usa-today,USA Today
4,"Reviewed, Jon Winkler, Elsie Boskamp and Lee Neikirk, Reviewed",Apple AirPods Pro are selling for a massive $80 discount during Black Friday—but they keep selling out,"Back in stock. Score the Apple AirPods Pro, one of the most popular pairs of earbuds ever, with this Black Friday discount at Amazon right now.",https://www.usatoday.com/story/tech/reviewed/2021/11/27/black-friday-2021-get-apple-airpods-pro-159-now/8779147002/,"https://www.gannett-cdn.com/presto/2021/11/23/USAT/be7b26a6-20ac-4645-868e-5da0fab0a44c-AirPods_Pro_Hero_TJ_Donegan.png?auto=webp&crop=4779,2689,x0,y0&format=pjpg&width=1200",2021-11-27T20:45:21Z,"— Recommendations are independently chosen by Reviewed’s editors. Purchases you make through our links may earn us a commission.
Black Friday 2021 isn't over yet—but this deal on the Apple AirPods P… [+2300 chars]",usa-today,USA Today
5,"USA TODAY, Chris Quintana, USA TODAY",College students are protesting fraternities over sexual violence. Will Greek life change?,"All semester, students have protested fraternities with members accused of assault. But frats have been under pressure for years, with little change.",https://www.usatoday.com/story/news/education/2021/11/17/college-fraternity-protest-sexual-assault/6402484001/,"https://www.gannett-cdn.com/presto/2021/09/01/PIOC/11c48471-987f-410e-b9f1-15646bfaadc8-210831-FIJI_Phi_Gamma_Delta_IC-007.jpg?auto=webp&crop=2649,1491,x0,y134&format=pjpg&width=1200",2021-11-17T10:01:41Z,"Students have packed board meetings with university leaders. They have gathered hundreds-strong outside fraternity chapters. In some cases, they've flipped cars. 
Though the specifics of the inciden… [+8766 chars]",usa-today,USA Today
6,"USA TODAY, Editors","Ghislaine Maxwell trial, Cyber Monday, hunt for new Oklahoma coach: 5 things you need to know Monday","The sex-trafficking trial of Epstein associate Ghislaine Maxwell begins, Cyber Monday is here and more news to start your day.",https://www.usatoday.com/story/news/2021/11/29/cyber-monday-ghislaine-maxwell-trial-lincoln-riley-5-things-know-monday/8659768002/,"https://www.gannett-cdn.com/presto/2021/11/29/USAT/dec736fb-76f5-430c-82fc-0789a1c4eefd-AP_Holiday_Shopping_Cyber_Monday.JPG?auto=webp&crop=5183,2916,x0,y0&format=pjpg&width=1200",2021-11-29T08:47:29Z,"Ghislaine Maxwell's accusers say she sexually exploited them. Here's what her trial may reveal.
Opening arguments will begin Monday in the federal sex-trafficking trial of Ghislaine Maxwell, who is … [+3739 chars]",usa-today,USA Today
7,USA TODAY Sports,Henry Ruggs III and drunk-driving: Does the NFL have a DUI problem?,"Before the crash involving Henry Ruggs III, three others died in drunk-driving incidents involving NFL players since 1998.",https://www.usatoday.com/story/sports/nfl/2021/11/09/henry-ruggs-iiis-fatal-crash-does-nfl-have-drunk-driving-problem/6320964001/,https://s.yimg.com/ny/api/res/1.2/ImbYcJRurmUPmjxVk7P8Cg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/nVw_tGMeEzlcouEArhZutQ--~B/aD01Mjc4O3c9NzkxNzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/usa_today_sports_articles_558/0abacc16e7bc0396fa0b64d7ed065c2b,2021-11-09T11:00:15Z,"By far the biggest criminal issue in the NFL in the past quarter century is driving under the influence of alcohol. Nothing else even comes close, according to the USA TODAY Sports database of 1,023 … [+9723 chars]",usa-today,USA Today
8,Johnathan Hettinger,Maker of Seresto defends flea and tick collar amid calls for a ban over safety concerns,"Elanco said its collar is safe despite reports of more than 86,000 adverse incidents, including 2,340 pet deaths since it hit the market in 2012.",https://www.usatoday.com/story/news/investigations/2021/11/08/seresto-flea-and-tick-collar-should-not-banned-company-tells-epa/6201046001/,https://s.yimg.com/ny/api/res/1.2/7wiJloRs512R4U2C2vCrqA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/D4Fv8eABL7otbHvw6sn3Wg--~B/aD0xMDgwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/usa_today_news_641/d50eed94615bf2e505ddd8761dd2544e,2021-11-08T10:05:05Z,The company behind the popular Seresto flea-and-tick collar has filed a lengthy defense of the safety of its product amid calls for federal regulars to ban it over concerns of harm and death to the p… [+8448 chars],usa-today,USA Today
9,"Jon Winkler, Elsie Boskamp and Lee Neikirk, Reviewed",The new Apple AirPods Pro are selling for a massive $79 discount during Black Friday 2021,"Score the Apple AirPods Pro, one of the most popular pairs of earbuds ever, with this Black Friday discount at Amazon right now.",https://www.usatoday.com/story/tech/reviewedcom/deals/2021/11/22/black-friday-2021-get-apple-airpods-pro-169-now/8716795002/,https://s.yimg.com/uu/api/res/1.2/.3Ewx2sa_idtYOL_jKpw5A--~B/aD0zNzI7dz02NjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/usa_today_tech_153/5886306080545a9dcb8dc82f938d41f7,2021-11-22T12:26:34Z,"Best gifts for teen boys: Apple Airpods Pro
Recommendations are independently chosen by Revieweds editors. Purchases you make through our links may earn us a commission.
We're only a few short days… [+2506 chars]",usa-today,USA Today
