,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Arman Khan, Sahar Habib Ghazi",They Tweeted About Islamophobic Attacks. India Wants to Charge Them With Terrorism.,"“When they burned down the mosques, I thought they’d wipe out every Muslim from this country.”",https://www.vice.com/en/article/pkpdwz/tripura-antimuslim-attacks-uapa-terrorism-charges-india,https://video-images.vice.com/articles/618df97f5aae97009a0b82ea/lede/1636696386548-ap21302515729905.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44NDM3NXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,2021-11-12T07:56:24Z,"Bakhtiyar Qazi, a 56-year-old fruit seller based in the Chamtila area of Tripura, a state in northeast India, first heard the hate-filled slogans against the Prophet Muhammad when he finished his eve… [+8985 chars]",vice-news,Vice News
1,"Heather Chen, Alastair McCready",This International Fugitive Paid Emily Ratajkowski $25k To Be His Super Bowl Date,"The supermodel says she didn’t know what to expect when Jho Low, the financier behind one of history’s biggest corruption scandals, took her out.",https://www.vice.com/en/article/88gad3/emily-ratajkowski-jho-low-super-bowl,https://video-images.vice.com/articles/618ca5b92d8aae009635595a/lede/1636607471617-jholow-1.jpeg?image-resize-opts=Y3JvcD0xeHc6MC43OTA1eGg7MHh3LDAuMDM3MXhoJnJlc2l6ZT0xMjAwOiomcmVzaXplPTEyMDA6Kg,2021-11-11T06:02:59Z,"Never one to skimp on the finer things in life, Malaysian fugitive billionaire Jho Low was known to spend lavishly to fund his globe-trotting lifestyle, buying luxurious super yachts, original Monet … [+2868 chars]",vice-news,Vice News
2,"Jamie Lee Curtis Taete, Emilie Friedlander",The Tears and Cheers of Britney Spears Fans,Photos from outside the courthouse the moment Spears' conservatorship was ended.,https://www.vice.com/en/article/dyp8mw/the-tears-and-cheers-of-britney-spears-fans,https://video-images.vice.com/articles/61927c2013501f00940f9ef3/lede/1636990858825-5-fans-shortly-after-the-announcement.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44MDExeGg7MHh3LDAuMDY4M3hoJnJlc2l6ZT0xMjAwOiomcmVzaXplPTEyMDA6Kg,2021-11-15T17:33:05Z,"On Friday, a court in Los Angeles ruled to terminate the conservatorship of Britney Spears. The arrangement, which had been in place since 2008, severely limited the amount of control Spears had over… [+5490 chars]",vice-news,Vice News
3,"Nathaniel Janowitz, Deborah Bonello, Elisabeth Malkin",What Happened When El Chapo Met the ‘Narcos’ Actor Playing Him,Alejandro Edda stars as Joaquín “El Chapo” Guzman in Narcos: Mexico. So he went to see the drug lord on trial.,https://www.vice.com/en/article/k7wqje/what-happened-when-el-chapo-met-the-narcos-actor-playing-him,https://video-images.vice.com/articles/618309914c960d0093e454c2/lede/1636048048935-el-chapo.jpeg?image-resize-opts=Y3JvcD0wLjg4ODl4dzowLjk5ODh4aDswLjAzNTZ4dywwLjAwMTJ4aCZyZXNpemU9MTIwMDoqJnJlc2l6ZT0xMjAwOio,2021-11-05T12:00:00Z,"MEXICO CITY—Alejandro Edda was cast as the world’s most famous living drug lord on Narcos: Mexico but he had few personal details to portray Joaquín “El Chapo” Guzmán: some articles, books, a photo, … [+9769 chars]",vice-news,Vice News
4,"Nick Robins-Early, Michael Learmonth","OK, So Facebook Is Bad. Now What?","Facebook, it has become increasingly clear, can not be trusted to govern itself.",https://www.vice.com/en/article/5dgp8z/ok-so-facebook-is-bad-now-what,https://video-images.vice.com/articles/618ed9f65ab844009b631425/lede/1636977435352-ap21273512783813.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44NDI3eGg7MHh3LDAuMDk4MnhoJnJlc2l6ZT0xMjAwOiomcmVzaXplPTEyMDA6Kg,2021-11-15T12:04:19Z,"Evidence has been mounting for years that Facebook is harmful for its users. Countless reports have documented how the company’s algorithms push people toward radicalization, allow extremist movement… [+10060 chars]",vice-news,Vice News
5,"Hanako Montgomery, Alan Wong",He Was a Yakuza. Now He Wants to Govern.,"“Someone has to change Japan,” the former gangster told VICE World News.",https://www.vice.com/en/article/7kbpgx/yakuza-japan-zainichi,https://video-images.vice.com/articles/6184dd97ad55e00094a568a9/lede/1636098652154-img7502.jpeg?image-resize-opts=Y3JvcD0wLjkzNzV4dzoxeGg7Y2VudGVyLGNlbnRlciZyZXNpemU9MTIwMDoqJnJlc2l6ZT0xMjAwOio,2021-11-05T10:30:13Z,"Among the colorful election posters in Tokyo, one painted in yellow and red stood out. 
Magomi Hashimoto, his blond hair parted on his left, wore a shadow of a smile as he looked directly at the cam… [+9396 chars]",vice-news,Vice News
6,"Katie Way, Duncan Cooper","After a Person Accidentally Kills Someone, How Do They Heal and Move On?",The founder of a support group for people who’ve been involved in accidental killings explains what it takes to transcend the trauma.,https://www.vice.com/en/article/g5qb3x/after-a-person-accidentally-kills-someone-how-do-they-heal-and-move-on,https://video-images.vice.com/articles/618d715b27fdfd00940eddbe/lede/1636659548930-gettyimages-1170262781.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44NDIzeGg7MHh3LDAuMDI1NXhoJnJlc2l6ZT0xMjAwOiomcmVzaXplPTEyMDA6Kg,2021-11-11T20:09:27Z,"When news broke that Alec Baldwin shot and killed cinematographer Halyna Hutchins with a prop gun on a movie set, many were quick to litigate Baldwin’s level of responsibility and search for someone … [+8898 chars]",vice-news,Vice News
7,,People Tell Us About The Many Ways Cruel Teachers Messed Up Their Childhood And Lives,"""A teacher asked two of my classmates to pin down my arms while she unzipped my pants. It was literally a molestation tactic disguised as punishment.""",https://www.vice.com/en/article/jgmqn7/corporal-punishment-mental-health-india-schools,https://video-images.vice.com/articles/618e43a77d01b70094d07888/lede/1636716917933-gettyimages-78781617.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44NDM4MzI0MDU1MDgzNTA0eGg7Y2VudGVyLGNlbnRlciZyZXNpemU9MTIwMDoqJnJlc2l6ZT0xMjAwOio,2021-11-12T14:27:03Z,"I don’t remember school for anything except triggering extreme anxiety. I remember waking up with anxiety, spending the day with anxiety, and sleeping with anxiety – without even knowing that “anxiet… [+10146 chars]",vice-news,Vice News
8,"Manisha Krishnan, Natasha Grzincic",Did Astroworld Attendees Get Stabbed with Drugs? Not Likely,"Houston police said a security guard ""felt a prick in the neck"" but have provided no other evidence that anyone was stabbed with drugs.",https://www.vice.com/en/article/qjbpbw/travis-scott-astroworld-concert-stabbed-drugs,https://video-images.vice.com/articles/61896a8a2d8aae009633e551/lede/1636396100964-gettyimages-1351663203.jpeg?image-resize-opts=Y3JvcD0xeHc6MC44NDN4aDsweHcsMC4wOTJ4aCZyZXNpemU9MTIwMDoqJnJlc2l6ZT0xMjAwOio,2021-11-08T18:38:21Z,"Drug experts say it’s unlikely that an Astroworld Festival attendee began mass-stabbing people with syringes filled with a mystery drug—a theory bolstered by Houston police, seemingly without evidenc… [+6485 chars]",vice-news,Vice News
9,"Maxwell Strachan, Tim Marchman",A Former Facebook VP Thinks Investing in Humans Is the Future of VC,"She gets $1.7 million. Sam Lessin’s venture firm gets 5% of her creator earnings for 30 years. “it's def not indentured servitude,” he says.",https://www.vice.com/en/article/7kb9mg/a-former-facebook-vp-thinks-investing-in-humans-is-the-future-of-vc,https://video-images.vice.com/articles/618d6c8fe96ee7009bf0d213/lede/1636662694771-guy.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,2021-11-12T14:00:00Z,"For decades now, Sam Lessin has been ruminating on an idea: What if instead of investing in companies, you could invest in people? What if Lessin could apply the venture capital model to human beings… [+13102 chars]",vice-news,Vice News
